bill_name,caption,filer_id,filer_name,function,session
HB 404,Relating to the creation of municipal courts of record in Sansom Park.,32583,Sue Palmer,author,76R
HB 405,Relating to an exemption from ad valorem taxation for certain vacant land owned by a religious organization.,32583,Sue Palmer,author,76R
HB 947,Relating to the criminal penalty for a violation of law relating to the regulation of fireworks.,32583,Sue Palmer,author,76R
HB 948,Relating to the disposition and use of a fine for the violation of a county fireworks ordinance.,32583,Sue Palmer,author,76R
HB 1008,Relating to the seizure of illegal fireworks.,32583,Sue Palmer,author,76R
HB 1245,Relating to the annual ratio study of an appraisal district and the annual school district property value study.,32583,Sue Palmer,author,76R
HB 1508,"Relating to the forfeiture of rights and interests of certain heirs, devisees, legatees, owners, and donees.",32583,Sue Palmer,author,76R
HB 1600,Relating to the judicial review of state agency orders and decisions under the Administrative Procedure Act and to actions for a declaratory judgment that challenge the validity or applicability of a state agency rule under the Administrative Procedure Act.,32583,Sue Palmer,author,76R
HB 1993,Relating to certain crime control and prevention districts.,32583,Sue Palmer,author,76R
HB 1997,"Relating to installation, repair, or removal of certain vent hoods.",32583,Sue Palmer,author,76R
HB 2009,Relating to the qualifications for service as constable.,32583,Sue Palmer,author,76R
HB 2621,Relating to the installation of asbestos in public buildings; providing penalties.,32583,Sue Palmer,author,76R
HB 2626,Relating to construction and renovation work on county-owned improvements in certain counties.,32583,Sue Palmer,author,76R
HB 3043,Relating to establishing a scholarship program and prekindergarten program to be funded from revenues of the state lottery.,32583,Sue Palmer,author,76R
HCR 132,Memorializing the U.S. Congress to repeal the Federal Unemployment Tax Act (FUTA) and to transfer control of workforce development programs to the states.,32583,Sue Palmer,author,76R
HJR 23,Proposing a constitutional amendment to authorize the legislature to exempt from ad valorem taxation certain vacant land owned by a church or other religious organization.,32583,Sue Palmer,author,76R
HJR 52,"Proposing a constitutional amendment relating to the forfeiture of rights and interests of certain heirs, devisees, legatees, and donees.",32583,Sue Palmer,author,76R
HR 153,Commemorating the city of Sansom Park's 50th anniversary.,32583,Sue Palmer,author,76R
HR 235,In memory of Phillip Wayne Dean.,32583,Sue Palmer,author,76R
HR 236,In memory of Garry Charles Sanders.,32583,Sue Palmer,author,76R
HR 237,In memory of Brian Collins.,32583,Sue Palmer,author,76R
HR 835,Honoring the Leonard Middle School National Junior Honor Society.,32583,Sue Palmer,author,76R
HB 676,Relating to prima facie speed limits for vehicles on highways and beaches.,32583,Sue Palmer,author,76R
HB 623,Relating to parental notification before an abortion may be performed on certain minors; providing a criminal penalty.,32583,Sue Palmer,coauthor,76R
HB 704,Relating to a teacher's right of refusal following an assault by a student and allowing school districts the option of expelling students for assaulting school district employees.,32583,Sue Palmer,coauthor,76R
HB 713,"Relating to the establishment and operation of the Toward EXcellence, Access, & Success (TEXAS) grant program and the Teach for Texas Grant Program; consolidating and revising financial aid, grant, and scholarship programs; and providing for the education, certification, and recruitment of teachers and faculty instructors.",32583,Sue Palmer,coauthor,76R
HB 1195,Relating to authorizing school districts to offer drug testing programs.,32583,Sue Palmer,coauthor,76R
HB 1242,Relating to the state funding for school district debt service.,32583,Sue Palmer,coauthor,76R
HB 1418,Relating to optional career and technology education programs offered by public school districts and a study of career and technology education programs.,32583,Sue Palmer,coauthor,76R
HB 1638,Relating to parental consent before an abortion may be performed on a minor.,32583,Sue Palmer,coauthor,76R
HB 1683,Relating to funding for school districts that open new schools or expand existing schools.,32583,Sue Palmer,coauthor,76R
HB 1685,Relating to state assistance for school facilities in certain fast-growth school districts.,32583,Sue Palmer,coauthor,76R
HB 1821,Relating to a franchise tax credit for a corporation that establishes and operates a day-care center for children of employees or purchases services for employees.,32583,Sue Palmer,coauthor,76R
HB 2117,Relating to the authority of a school district to permit certain persons to perform teaching services or to provide teachers for the district in lieu of paying ad valorem taxes owed to the district.,32583,Sue Palmer,coauthor,76R
HB 2680,Relating to exemptions from ad valorem and sales and use taxation of certain timber and certain items used in timber operations and the valuation of certain timber land for ad valorem tax purposes.,32583,Sue Palmer,coauthor,76R
HB 2869,Relating to the requirement that a child provide certain information to a juvenile probation officer as a condition of probation for certain offenses involving a handgun.,32583,Sue Palmer,coauthor,76R
HJR 21,Proposing a constitutional amendment to require a two-thirds vote of the membership of each house of the legislature to enact certain tax bills.,32583,Sue Palmer,coauthor,76R
HR 246,"Declaring February 24, 1999, Tarrant County Chambers of Commerce Day.",32583,Sue Palmer,coauthor,76R
HR 558,Honoring Pulitzer Prize winner Ken Towery of Austin.,32583,Sue Palmer,coauthor,76R
HR 573,"Memorializing the Congress of the United States to propose and submit to the states for ratification an amendment to the United States Constitution to prohibit federal courts from ordering or instructing any state or political subdivision thereof, or an official of any state or political subdivision, to levy or increase taxes.",32583,Sue Palmer,coauthor,76R
