bill_name,caption,filer_id,filer_name,function,session
HR 93,In memory of Billy Ed Wilson of Belton.,None,Ralph Sheffield,author,832
HB 2,"Relating to the regulation of abortion procedures, providers, and facilities; providing penalties.",None,Ralph Sheffield,coauthor,832
HCR 3,Directing the governor of the State of Texas to award the Texas Legislative Medal of Honor posthumously to Audie Murphy.,None,Ralph Sheffield,coauthor,832
HB 70,Relating to appropriating money to the Texas A&M Forest Service to assist volunteer fire departments during the next state fiscal biennium.,None,Ralph Sheffield,coauthor,831
HB 73,Relating to appropriating money to the Texas A&M Forest Service to be used to assist volunteer fire departments during the current state fiscal biennium.,None,Ralph Sheffield,coauthor,831
HB 1427,Relating to the donation of surplus real property by certain municipalities.,None,Ralph Sheffield,author,83R
HB 1789,Relating to authorizing the issuance of revenue bonds for a research building at Texas A&M University Health Science Center College of Medicine--Temple.,None,Ralph Sheffield,author,83R
HB 2818,Relating to certain local option elections and the permits and licenses that can be issued in areas that approved the sale of certain alcoholic beverages in a local option election.,None,Ralph Sheffield,author,83R
HCR 52,In memory of Texas State Representative Ken Legler.,None,Ralph Sheffield,author,83R
HR 500,"Recognizing February 20, 2013, as Texas Charity Advocates Day at the State Capitol.",None,Ralph Sheffield,author,83R
HR 585,In memory of Travis Winfield Sampley of Austin.,None,Ralph Sheffield,author,83R
HR 717,Recognizing Waco Chapter No. 14 of the National Association of Women in Construction during Women in Construction Week.,None,Ralph Sheffield,author,83R
HR 777,Commending Charlie Dina of Houston for his bravery in fighting cancer.,None,Ralph Sheffield,author,83R
HR 1543,In memory of Elinor Margaret Brooks Kettler of Brenham.,None,Ralph Sheffield,author,83R
HR 1683,"Honoring the Fraternal Alliance of Texas on the occasion of Join Hands Day, May 1, 2013.",None,Ralph Sheffield,author,83R
HR 1743,"Recognizing April 26, 2013, as McDonald's Salad Day.",None,Ralph Sheffield,author,83R
HR 1809,In memory of Ina Faye Minyard McGinnis of Troy.,None,Ralph Sheffield,author,83R
