bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HR 3,Recognizing the Metrocrest Republican Club.,13378,Stefani Carter,author,832,2210,Rep. Stefani Carter,Stefani Carter
HB 4,Relating to the punishment for a capital felony committed by an individual younger than 18 years of age.,13378,Stefani Carter,author,832,2210,Rep. Stefani Carter,Stefani Carter
HB 2,"Relating to the regulation of abortion procedures, providers, and facilities; providing penalties.",13378,Stefani Carter,coauthor,832,2210,Rep. Stefani Carter,Stefani Carter
HCR 3,Directing the governor of the State of Texas to award the Texas Legislative Medal of Honor posthumously to Audie Murphy.,13378,Stefani Carter,coauthor,832,2210,Rep. Stefani Carter,Stefani Carter
SB 2,Relating to the punishment for a capital felony committed by an individual younger than 18 years of age.,13378,Stefani Carter,sponsor,832,2210,Rep. Stefani Carter,Stefani Carter
HB 66,Relating to notice of and consent to an abortion for a minor.,13378,Stefani Carter,author,831,2210,Rep. Stefani Carter,Stefani Carter
HR 64,Honoring the Texas-Israel Chamber of Commerce for its outstanding contributions.,13378,Stefani Carter,author,831,2210,Rep. Stefani Carter,Stefani Carter
HB 16,Relating to abortion at or after 20 weeks post-fertilization.,13378,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
HB 19,Relating to the carrying of concealed handguns on the campuses of and certain other locations associated with institutions of higher education.,13378,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
HB 60,"Relating to the regulation of abortion procedures, providers, and facilities; providing penalties.",13378,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
HB 70,Relating to appropriating money to the Texas A&M Forest Service to assist volunteer fire departments during the next state fiscal biennium.,13378,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
HB 73,Relating to appropriating money to the Texas A&M Forest Service to be used to assist volunteer fire departments during the current state fiscal biennium.,13378,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
SB 23,Relating to the punishment for a capital felony committed by an individual younger than 18 years of age.,13378,Stefani Carter,sponsor,831,2210,Rep. Stefani Carter,Stefani Carter
HB 991,Relating to imposing liens for labor and materials provided by interior designers.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 992,Relating to an election to authorize an increase in a school district superintendent's salary.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1666,Relating to a task force on school district administrative efficiency.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1667,Relating to the conditions of release on bond for certain defendants charged with the offense of burglary.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1668,Relating to a franchise tax credit for certain taxable entities that recruit new taxable entities to this state or that relocate to this state.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1669,"Relating to the admissibility of evidence of other crimes, wrongs, or acts in the prosecution of certain sexual offenses.",13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1670,Relating to the addition of a synthetic hallucinogenic substance to Penalty Group 2 of the Texas Controlled Substances Act.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1671,Relating to the designation of certain synthetic cannabinoids as controlled substances and controlled substance analogues under the Texas Controlled Substances Act.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1846,Relating to suspension or denial of issuance or renewal of a license for failure to pay child support.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1847,Relating to continuing legal education in ethics or professional responsibility for prosecutors.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1848,"Relating to certain conditions of, penalties for violating, and collection of information about protective orders issued in certain family violence, sexual assault or abuse, stalking, or trafficking cases.",13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 1849,Relating to the disposition of proceeds and property from criminal asset forfeiture.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2565,Relating to the formation of benefit corporations and to the consideration of public benefits and other interests by officers and directors of benefit corporations; providing for the imposition of a fee.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2566,Relating to electronic payment of premiums to the Texas Health Insurance Pool.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2567,Relating to the filing in county deed records of an instrument transferring a residential mortgage note; providing a civil penalty.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2863,"Relating to the offense of prostitution, the defendants eligible for participation in a first offender prostitution prevention program, and certain procedures for the provision of services under the program.",13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2864,Relating to requirements for mortgage servicers in connection with loans for the purchase of residential property.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2865,Relating to certain notifications to borrowers required for home equity loans.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2866,Relating to the establishment and operation of the technology business incubator program.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2867,Relating to forfeiture of property used in the commission of certain intoxication offenses.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2868,Relating to the execution of a search warrant for taking a blood specimen from certain persons in certain intoxication offenses.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 2869,Relating to the provision of durable medical equipment and supplies under the Medicaid program.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3517,Relating to requiring a jury to consider a victim impact statement before assessing punishment in a criminal case.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3521,Relating to requiring the use of an ignition interlock device on conviction of certain intoxication offenses.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3689,Relating to the execution of a search warrant for taking a DNA specimen.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3690,Relating to a study comparing the compensation of state employees to the compensation of private sector employees.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3706,Relating to certain requirements for certain sponsors and other participants in the summer food service program.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3814,Relating to availability of certain benefits under individual accident and health insurance policies.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
HB 3815,Relating to the suspension of a person's driver's license or permit on conviction of a fifth offense relating to the operating of a motor vehicle while intoxicated.,13378,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
