bill_name,caption,filer_id,filer_name,function,session
HR 104,Paying tribute to the life of Hubert Adami.,20178,Ernestine Glossbrenner,author,724
HJR 1,"Proposing a constitutional amendment providing an equity standard for public school finance, authorizing the redistribution of certain ad valorem taxes levied and collected by certain school districts, authorizing certain tax rate limitations in certain school districts, providing certain state funds to the support of public education, and authorizing state general obligation bonds to assist school districts in financing facilities.",20178,Ernestine Glossbrenner,author,724
HR 112,Commending the Honorable Gibson D. (Gib) Lewis on his long and distinguished tenure as speaker of the Texas House of Representatives and extending sincere appreciation to him for his many years of outstanding service on behalf of the legislature and the citizens of Texas.,20178,Ernestine Glossbrenner,coauthor,724
SJR 1,"Proposing a constitutional amendment providing an equity standard for public school finance, authorizing the redistribution of certain ad valorem taxes levied and collected by certain school districts, authorizing certain tax rate limitations in certain school districts, providing certain state funds to the support of public education, and authorizing state general obligation bonds to assist school districts in financing facilities.",20178,Ernestine Glossbrenner,sponsor,724
HCR 12,Honoring and recognizing Ignacio Zaragoza and Rafaela Zaragoza for their contribution to history.,20178,Ernestine Glossbrenner,coauthor,723
HB 2,"Relating to primary, secondary, and post-secondary education.",20178,Ernestine Glossbrenner,author,721
HB 75,Relating to the adoption of objective performance indicators for vocational education provided by school districts.,20178,Ernestine Glossbrenner,author,721
HB 76,Relating to gender equity in vocational education programs.,20178,Ernestine Glossbrenner,author,721
HB 77,Relating to the abolishment of the career ladder and the establishment of teaching levels for public school teachers.,20178,Ernestine Glossbrenner,author,721
HB 140,Relating to state supervision over voting systems and to the acquisition and use of voting systems; providing civil and criminal penalties.,20178,Ernestine Glossbrenner,author,721
HJR 1,Proposing a constitutional amendment relating to the use of certain income from permanent school fund property for maintaining the support of public education.,20178,Ernestine Glossbrenner,author,721
HR 86,Congratulating Octavio G. and Manuela Deanda Figueroa on the occasion of their 60th wedding anniversary.,20178,Ernestine Glossbrenner,author,721
HCR 31,Encouraging the attorney general of Texas to settle the case of LULAC v. Mattox by adopting a plan for the election of district judges.,20178,Ernestine Glossbrenner,coauthor,721
HB 3,Relating to public school finance.,20178,Ernestine Glossbrenner,author,72R
HB 554,Relating to voting by and the cancellation of the voter registrations of persons whose names appear on the lists of returned registration certificates.,20178,Ernestine Glossbrenner,author,72R
HB 557,Relating to summer seminars for teachers.,20178,Ernestine Glossbrenner,author,72R
HB 558,Relating to the appraisal of teachers and the assignment of teachers to teaching levels.,20178,Ernestine Glossbrenner,author,72R
HB 559,Relating to the authority of the Central Education Agency to contract with the Texas Committee for the Humanities to conduct certain programs.,20178,Ernestine Glossbrenner,author,72R
HB 586,Relating to sick leave for public school employees.,20178,Ernestine Glossbrenner,author,72R
HB 667,Relating to exempting a student from taking a final examination in a class.,20178,Ernestine Glossbrenner,author,72R
HB 786,Relating to the adoption of objective performance indicators for vocational education provided by school districts.,20178,Ernestine Glossbrenner,author,72R
HB 787,Relating to funding for regional vocational education planning committees.,20178,Ernestine Glossbrenner,author,72R
HB 788,Relating to requiring consideration of the quality and effectiveness of vocational education as part of the accreditation process.,20178,Ernestine Glossbrenner,author,72R
HB 789,Relating to gender equity in vocational education programs.,20178,Ernestine Glossbrenner,author,72R
HB 913,Relating to voter registration activities conducted by institutions of higher education and certain state agencies.,20178,Ernestine Glossbrenner,author,72R
HB 1551,Relating to the governing board of the Texas School for the Deaf.,20178,Ernestine Glossbrenner,author,72R
HB 1567,"Relating to the creation, administration, powers, duties, and financing of the Texas public school employees group insurance program.",20178,Ernestine Glossbrenner,author,72R
HB 1596,Relating to the number of semester credit hours of education courses necessary to be granted a teaching certificate by the State Board of Education.,20178,Ernestine Glossbrenner,author,72R
HB 1646,Relating to proof of certain informal marriages.,20178,Ernestine Glossbrenner,author,72R
HB 1827,Relating to the number of days of instruction in a school year.,20178,Ernestine Glossbrenner,author,72R
HB 1828,Relating to election of supervisors of the Jim Wells County Fresh Water Supply District No. 1 and validation of previous elections and actions of the district.,20178,Ernestine Glossbrenner,author,72R
HB 1829,Relating to a report submitted to the legislature by the Central Education Agency about the statewide dropout rate.,20178,Ernestine Glossbrenner,author,72R
HB 1830,Relating to the peer assistance and leadership system.,20178,Ernestine Glossbrenner,author,72R
HB 1831,Relating to class credit for a student with more than the allowable number of absences.,20178,Ernestine Glossbrenner,author,72R
HB 1832,Relating to informing parents in a parent involvement and education program about other assistance programs available to the parent.,20178,Ernestine Glossbrenner,author,72R
HB 1833,Relating to state supervision over voting systems and to the acquisition and use of voting systems; providing civil and criminal penalties.,20178,Ernestine Glossbrenner,author,72R
HB 2170,Relating to class size requirements in prekindergarten classes.,20178,Ernestine Glossbrenner,author,72R
HB 2171,Relating to programs for certain students at risk of dropping out of school.,20178,Ernestine Glossbrenner,author,72R
HB 2172,Relating to a pilot program for ungraded mixed-age instruction in public elementary schools.,20178,Ernestine Glossbrenner,author,72R
HB 2173,Relating to support programs for students who are parents.,20178,Ernestine Glossbrenner,author,72R
HB 2174,Relating to a statewide program to recruit and train professional educators.,20178,Ernestine Glossbrenner,author,72R
HB 2175,Relating to laboratory instruction in public school science classes.,20178,Ernestine Glossbrenner,author,72R
HB 2176,Relating to the creation and operation of a group insurance program for public school employees; making an appropriation.,20178,Ernestine Glossbrenner,author,72R
HB 2481,Relating to parental involvement and family literacy programs.,20178,Ernestine Glossbrenner,author,72R
HB 2482,Relating to contributions for certain members of the Teacher Retirement System of Texas.,20178,Ernestine Glossbrenner,author,72R
HB 2483,Relating to the performance report of a school district.,20178,Ernestine Glossbrenner,author,72R
HB 2651,Relating to proprietary schools including commercial driver-training schools granted a certificate of approval under the Texas Proprietary School Act.,20178,Ernestine Glossbrenner,author,72R
HCR 136,Requesting that the Central Education Agency designate a State Social Work Consultant to assist in the development of new programs and the expansion of existing programs to address the social work needs of students and their families.,20178,Ernestine Glossbrenner,author,72R
HCR 137,Requesting that the State Board of Education fully develop and implement social work programs.,20178,Ernestine Glossbrenner,author,72R
HCR 222,"Declaring the week of May 13-17, 1991, as ""Paraprofessional and School-Related Personnel Appreciation Week in Texas"".",20178,Ernestine Glossbrenner,author,72R
HR 113,Honoring Dr. William N. Kirby for his contributions to public education in Texas.,20178,Ernestine Glossbrenner,author,72R
HR 366,Congratulating Ida Hedwig Albina Boeneman Zieger on the occasion of her 100th birthday and extending to her sincere best wishes for continued happiness.,20178,Ernestine Glossbrenner,author,72R
HR 451,Resolving to suspend the house rules for the conference committee report on Senate Bill No. 351.,20178,Ernestine Glossbrenner,author,72R
HR 584,"Resolving to suspend House Rule 14, Section 9(a), to enable the conference committee appointed to resolve the differences on Senate Bill No. 351.",20178,Ernestine Glossbrenner,author,72R
HR 594,"In memory of Dimmit County Sheriff Ben ""Doc"" Murray.",20178,Ernestine Glossbrenner,author,72R
HR 731,In memory of Tomas H. Molina.,20178,Ernestine Glossbrenner,author,72R
HR 732,"In memory of Ruben E. Moreno, Sr.",20178,Ernestine Glossbrenner,author,72R
HR 782,In memory of Chief Deputy Ken Norris Meister of the Zavala County Sheriff's Department.,20178,Ernestine Glossbrenner,author,72R
HR 800,Honoring Bryce B. Taylor on his outstanding contributions to the field of music education in Texas.,20178,Ernestine Glossbrenner,author,72R
HR 999,Congratulating Henry Lewis Costilow and Rexalee McNeil Costilow on the occasion of their 50th wedding anniversary.,20178,Ernestine Glossbrenner,author,72R
HB 1915,Relating to the management of solid waste disposal.,20178,Ernestine Glossbrenner,author,72R
HR 793,Encouraging public and private schools and school districts in the state to adopt a program of voluntary identification of schoolchildren in each school or district.,20178,Ernestine Glossbrenner,author,72R
HB 334,"Relating to the management, coordination, supervision, and provision of public school health services.",20178,Ernestine Glossbrenner,coauthor,72R
HB 861,Relating to the payment of costs associated with the appearance of a licensed health care professional for the state at criminal proceedings arising from a sexual assault.,20178,Ernestine Glossbrenner,coauthor,72R
