bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HB 327,Relating to adoption of the Business Organizations Code; providing penalties.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 693,"Relating to the creation, powers, and boundaries of certain municipal development districts.",19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 906,Relating to the continuation and functions of the Coastal Coordination Council.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 907,Relating to the continuation of the Office for the Prevention of Developmental Disabilities.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1678,Relating to nonrepairable and salvage motor vehicles.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1679,Relating to the operation of certain vehicle combinations that exceed maximum weight limitations.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1680,Relating to the regulation of certain extra job coordinators by the Texas Commission on Private Security.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1681,Relating to the regulation of tow trucks by political subdivisions of this state.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1893,Relating to removal of certain state officers convicted of a felony offense.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1894,Relating to the continuation and functions of the State Aircraft Pooling Board.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2034,Relating to indemnification provisions concerning registered architects and registered engineers in certain construction contracts.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2130,Relating to granting one-time merit payments under the state employee incentive program.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2161,Relating to local revenue sources for transportation projects.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2243,Relating to the Vehicle Storage Facility Act.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2244,Relating to the continuation and functions of the Texas Parks and Wildlife Department.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2311,Relating to certain agreements for the payment of subcontractors.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2312,Relating to the resolution of certain contract claims against the state.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2313,Relating to the disposing of abandoned motor vehicles.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2491,Relating to the validation of certain actions and of the legal description of Harris County Water Control and Improvement District No. 84.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2492,Relating to the state employee incentive and productivity program.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2493,Relating to the application of the sunset review process to certain governmental entities.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2580,Relating to establishing the enforcement of land use restrictions as a governmental function of a municipality.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2685,Relating to prohibiting certain attorney's fees from being included in the cost of foreclosure of a property owners' association's lien and establishing a right of redemption in relation to the foreclosure.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2853,Relating to information gathered and analyzed by the legislative council.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2912,Relating to the continuation and functions of the Texas Natural Resource Conservation Commission; providing penalties.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 3036,Relating to the regulation of certain security personnel.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 3125,"Relating to certain injuries or death, including injuries resulting from malicious conduct endangering public safety; providing penalties.",19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HCR 331,Instructing the enrolling clerk of the house of representatives to make corrections to H.B. No. 2912.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HJR 85,"Proposing a constitutional amendment to allow current and retired public school teachers and retired public school administrators to receive compensation for serving on the governing bodies of school districts, cities, towns, or other local governmental districts, including water districts.",19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HR 2,Relating to the nomination and election procedures for the speaker.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HR 363,Congratulating Michelle Cruz on her graduation from The University of Texas at Austin.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HR 935,Honoring Father Anton Sheltz on the occasion of his 25th anniversary as priest of St. Dominic Catholic Church in Houston.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HR 939,Honoring Father Anton Sheltz of Houston on his 25th anniversary as a priest.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HR 943,Honoring Houston's C. E. King High School cadets for their exemplary performance at the 2001 Air Force JROTC National Drill Championships.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1502,Relating to continuation and functions of the Texas Department of Banking and the regulation of certain financial institutions and businesses; providing an administrative penalty.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1503,"Relating to the continuation of the State Pension Review Board, to functions performed by the board, and to the funding of the board.",19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1636,Relating to continuation and functions of the Savings and Loan Department and the regulation of certain financial institutions and businesses.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1747,Relating to the continuation and functions of the office of the fire fighters' pension commissioner and the membership of the board of trustees of the Texas statewide emergency services personnel retirement fund.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1763,Relating to the continuation and functions of the Finance Commission of Texas and the regulation of certain financial institutions and businesses.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 1816,Relating to continuation and functions of the Office of Consumer Credit Commissioner and the regulation of certain financial businesses.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2255,Relating to the continuation and functions of the State Securities Board; providing penalties.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2310,Relating to the continuation and functions of the State Soil and Water Conservation Board and to the election of directors of local soil and water conservation districts.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2441,Relating to the administration of the low-income housing tax credit program by the Texas Department of Housing and Community Affairs.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2444,Relating to national fraternal organizations that are exempt from certain requirements of the Alcoholic Beverage Code.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 2747,Relating to audits of the promotion and development fund of a navigation district.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 3017,Relating to the review and functions of the Texas Water Development Board.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 3018,Relating to the continuation and functions of the Railroad Commission of Texas.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 3449,"Relating to the continuation and functions of the Texas Department of Housing and Community Affairs and to other matters relating to housing or community development, including the creation of the Manufactured Housing Board and the Office of Rural Community Affairs; providing a penalty.",19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HJR 1,Proposing a constitutional amendment providing for a four-year term of office for the fire fighters' pension commissioner.,19791,Fred Bosse,author,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 6,Relating to open-enrollment charter schools.,19791,Fred Bosse,coauthor,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 7,Relating to creating the Office of Rural Community Affairs.,19791,Fred Bosse,coauthor,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 825,Relating to continuous eligibility of children for medical assistance.,19791,Fred Bosse,coauthor,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 826,Relating to consideration of assets and resources for purposes of determining eligibility of children for Medicaid.,19791,Fred Bosse,coauthor,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 827,Relating to simplifying the application and eligibility determination process for medical assistance provided to children.,19791,Fred Bosse,coauthor,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
HB 828,Relating to application and eligibility for Medicaid.,19791,Fred Bosse,coauthor,77R,2275,Rep. Fred M. Bosse,Fred. Bosse
