bill_name,caption,filer_id,filer_name,function,session
HCR 13,Congratulating Coach Mack Brown and The University of Texas Longhorn football team on winning the 2005 National Championship.,None,Terry Keel,author,793
HR 210,Congratulating Erica Martin of Hyde Park Baptist School in Austin on earning first place for color photography in the 2006 Texas Media Awards contest sponsored by the Texas Library Association.,None,Terry Keel,author,793
HR 618,Congratulating the Bowie High School boys' varsity lacrosse team on winning the Central District Division II championship title.,None,Terry Keel,author,793
HR 640,Honoring Sir Paul McCartney when he's 64.,None,Terry Keel,author,793
HB 97,Relating to prohibiting certain disruptions at a funeral service; creating an offense.,None,Terry Keel,author,793
HCR 43,Urging Congress to enact the Vietnam Veterans Memorial Visitor Center Deadline Act.,None,Terry Keel,coauthor,793
HR 231,Congratulating the boys' swimming and diving team of Westlake High School in Austin on winning the UIL Class 5A State Championship.,None,Terry Keel,coauthor,793
SCR 1,Congratulating the football team of The University of Texas at Austin for winning the 2005 National Championship.,None,Terry Keel,sponsor,793
HR 98,In memory of Mary Dooley Compeau of Austin.,None,Terry Keel,author,792
HR 241,In memory of Major William Clifford Stensland of Austin.,None,Terry Keel,author,792
HB 16,Relating to limits on the use of the power of eminent domain.,None,Terry Keel,coauthor,792
HB 62,Relating to public school instructional materials and instructional technology; making an appropriation.,None,Terry Keel,coauthor,792
HB 19,Relating to the qualifications and appointment of counsel for indigent defendants in capital cases.,None,Terry Keel,author,791
HR 258,"Honoring Roy L. Bernhardt, Jr., of Taylor on his retirement from Thrall High School.",None,Terry Keel,author,791
HR 259,"In memory of U.S. Army Specialist Rafael A. ""T. J."" Carrillo, Jr., of Austin.",None,Terry Keel,author,791
HJR 19,Proposing a constitutional amendment to restrict the state or a political subdivision from taking private property for the primary purpose of economic development or to benefit a particular class of identifiable individuals.,None,Terry Keel,coauthor,791
HB 47,Relating to imposing a civil penalty on a clerk who fails to make available to the public certain information with respect to an arrest or search warrant.,None,Terry Keel,author,79R
HB 48,Relating to disposal of an exhibit in a capital case.,None,Terry Keel,author,79R
HB 268,Relating to the qualifications and appointment of counsel for indigent defendants in capital cases.,None,Terry Keel,author,79R
HB 269,Relating to the effect of an expunction.,None,Terry Keel,author,79R
HB 419,Relating to the applicability of the death penalty to a capital offense committed by a person with mental retardation.,None,Terry Keel,author,79R
