bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HCR 6,"Congratulating Terrell Boyd of Paris, Texas, for being named a Chevalier of the Legion of Honor by the French Republic.",37071,Mark Homer,author,811,3325,Rep. Mark Homer,Mark Homer
HCR 7,"Honoring Matthew Draeger of Paris, Texas, on winning the individual community problem solving championship, junior division, at the 2009 International Conference of Future Problem Solving Program International.",37071,Mark Homer,author,811,3325,Rep. Mark Homer,Mark Homer
HB 173,Relating to the election of the commissioner of insurance.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 968,Relating to the use of crossbows for hunting.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 1046,Relating to the appeals process in the disposition of cruelly treated animals.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 1123,Relating to an exemption for certain programs from the child-care licensing requirements.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 1185,Relating to the amount of wine certain wineries may sell directly to consumers.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 1186,Relating to the transfer or discharge of certain residents in certain assisted living facilities.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 1190,Relating to prohibiting human cloning; providing a penalty.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 2087,Relating to the state's statutory and contractual liens to secure the payment of unpaid royalty and other amounts due under oil and gas leases of state land.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 2320,Relating to the appointment of a county auditor in certain counties.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 2321,Relating to lifetime licenses for hunting and fishing.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
HB 2322,Relating to notice requirements before cancellation of certain  insurance coverage.,37071,Mark Homer,author,81R,3325,Rep. Mark Homer,Mark Homer
