bill_name,caption,filer_id,filer_name,function,session
HB 59,Relating to an employer's chargeback liability for unemployment compensation benefits based on separations from employment caused by certain natural disasters.,20443,Dudley Harrison,author,716
HB 60,Relating to the definitions of pen-reared birds and depredating animals.,20443,Dudley Harrison,author,716
SB 23,Relating to an employer's chargeback liability for unemployment compensation benefits based on separations from employment caused by certain natural disasters.,20443,Dudley Harrison,sponsor,716
SB 24,Relating to the definitions of pen-reared birds and depredating animals.,20443,Dudley Harrison,sponsor,716
HB 25,Relating to an employer's chargeback liability for unemployment compensation benefits based on separations from employment caused by certain natural disasters.,20443,Dudley Harrison,author,715
HB 26,Relating to the definitions of pen-reared birds and depredating animals.,20443,Dudley Harrison,author,715
HCR 23,Recognizing the service of the 4080th Strategic Reconnaissance Wing.,20443,Dudley Harrison,author,715
HR 163,Honoring Jean Kindle.,20443,Dudley Harrison,author,715
HCR 11,Honoring Representative Al Price.,20443,Dudley Harrison,coauthor,715
SB 35,Relating to the Pecos River compact program and account; making an appropriation.,20443,Dudley Harrison,sponsor,715
HB 70,Relating to an employer's chargeback liability for unemployment compensation benefits based on separations from employment caused by certain natural disasters.,20443,Dudley Harrison,author,714
HB 155,Relating to the definitions of pen-reared birds and depredating animals.,20443,Dudley Harrison,author,714
HR 105,Congratulating Gene Akers.,20443,Dudley Harrison,author,714
HB 102,Relating to certain payments of money to school districts.,20443,Dudley Harrison,coauthor,714
HR 4,Requesting the Environmental Protection Agency to hold hearings in rural areas on municipal solid waste landfill regulations.,20443,Dudley Harrison,coauthor,714
HR 64,"Congratulating Blaine Lemons, the 1990-91 Masked Rider of Texas Tech University.",20443,Dudley Harrison,coauthor,714
HB 44,"Relating to the location and storage capacity of certain aboveground tanks and to the deregulation of storage of gasoline, diesel fuel, aviation fuel, and kerosene at certain aircraft fueling facilities.",20443,Dudley Harrison,coauthor,713
HB 34,Relating to the operation on highways of certain farm vehicles transporting hazardous materials.,20443,Dudley Harrison,coauthor,712
HB 35,Relating to the operation on highways of vehicles transporting seed cotton modules.,20443,Dudley Harrison,coauthor,712
HR 51,Congratulating the Texas High School Rodeo Team.,20443,Dudley Harrison,coauthor,712
HB 18,Relating to matching grants or linked deposit loans under the agricultural diversification program.,20443,Dudley Harrison,author,711
HCR 21,"Requesting Congress to adopt a single definition of ""wetlands.""",20443,Dudley Harrison,author,711
