bill_name,caption,filer_id,filer_name,function,session
HB 89,Relating to an emergency appropriation to the Texas Department of Criminal Justice for projects related to corrections institutions.,26513,Hugh Shine,author,716
HR 83,Honoring Sue Mayborn.,26513,Hugh Shine,author,716
HR 84,Commending John and Maurine Cox.,26513,Hugh Shine,author,716
HB 52,"Relating to drug-free zones and to the imposition of penalties for the delivery, manufacture, or possession with the intent to deliver or manufacture a controlled substance in drug-free zones.",26513,Hugh Shine,coauthor,716
HB 62,Relating to the carrying of weapons by members of the military forces of this state or another state.,26513,Hugh Shine,author,715
HB 63,Relating to an emergency appropriation to the Texas Department of Criminal Justice for projects related to corrections institutions.,26513,Hugh Shine,author,715
HB 64,Relating to financial support of the Texas State Guard.,26513,Hugh Shine,author,715
HB 65,"Relating to the fee, charge, or rate paid under the medical assistance program to certain hospitals.",26513,Hugh Shine,author,715
HB 66,Relating to the unemployment compensation special administration fund; making appropriations to the Texas Employment Commission from that fund.,26513,Hugh Shine,author,715
HB 132,Relating to public education.,26513,Hugh Shine,coauthor,715
SB 4,"Relating to the basis of fees, charges, and rates for medical assistance provided by certain hospitals serving as primary teaching hospitals for certain institutions of higher education.",26513,Hugh Shine,cosponsor,715
HB 60,Relating to financial support of the Texas State Guard.,26513,Hugh Shine,author,714
HB 61,Relating to the unemployment compensation special administration fund; making appropriations to the Texas Employment Commission from that fund.,26513,Hugh Shine,author,714
HB 62,Relating to an emergency appropriation to the Texas Department of Criminal Justice for projects related to corrections institutions.,26513,Hugh Shine,author,714
HB 63,Relating to the carrying of weapons by members of the military forces of this state or another state.,26513,Hugh Shine,author,714
HR 5,"Commending Fredrick Bandas, Jr.",26513,Hugh Shine,author,714
HR 17,In memory of PFC Scott Lee Roth.,26513,Hugh Shine,author,714
HR 18,In memory of Gary Leskie Tompkins.,26513,Hugh Shine,author,714
HR 178,In memory of Don Adair.,26513,Hugh Shine,author,714
HB 102,Relating to certain payments of money to school districts.,26513,Hugh Shine,coauthor,714
HB 6,Relating to an emergency appropriation to the Texas Department of Criminal Justice for projects related to corrections institutions.,26513,Hugh Shine,author,713
HB 20,Relating to the unemployment compensation special administration fund; making appropriations to the Texas Employment Commission from that fund.,26513,Hugh Shine,author,713
HB 36,Relating to the chronically ill and disabled children's services program; making an emergency appropriation.,26513,Hugh Shine,author,713
HB 85,Relating to the unemployment compensation special administration fund; making appropriations to the Texas Employment Commission from that fund.,26513,Hugh Shine,author,713
HB 131,Relating to the carrying of weapons by members of the military forces of this state or another state.,26513,Hugh Shine,author,713
HCR 13,Memorializing Congress to enact reductions in the capital gains tax.,26513,Hugh Shine,author,713
HCR 17,Memorializing Congress to reinstate the itemized deduction of sales taxes for federal income tax purposes.,26513,Hugh Shine,author,713
HJR 11,Proposing a constitutional amendment to prohibit a corporate income tax.,26513,Hugh Shine,author,713
HJR 13,Proposing a constitutional amendment to prohibit a personal income tax.,26513,Hugh Shine,author,713
HR 6,"In memory of C. M. ""Sandy"" Belcher.",26513,Hugh Shine,author,713
HR 143,In memory of PFC Scott Lee Roth.,26513,Hugh Shine,author,713
HR 148,In memory of Gary L. Tompkins.,26513,Hugh Shine,author,713
