bill_name,caption,filer_id,filer_name,function,session
SR 13,Recognizing the 217th Training Squadron of the Texas Air National Guard.,21131,Robert Duncan,author,833
SB 1,"Relating to the creation and functions of legislative select committees on transportation funding, expenditures, and finance and to the preservation of a sufficient balance in the economic stabilization fund.",21131,Robert Duncan,author,833
SB 10,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education.,21131,Robert Duncan,author,833
SJR 1,Proposing a constitutional amendment to provide for the transfer of certain general revenue to the economic stabilization fund and to the state highway fund and for the dedication of the revenue transferred to the state highway fund.,21131,Robert Duncan,author,833
SB 3,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education; making an appropriation.,21131,Robert Duncan,coauthor,833
SR 81,Recognizing Mark Reynolds on the occasion of his retirement.,21131,Robert Duncan,author,832
SB 40,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education.,21131,Robert Duncan,author,832
SR 26,Recognizing James C. Conkwright on the occasion of his retirement.,21131,Robert Duncan,author,832
HCR 11,Congratulating former state representative Carl H. Isett on his promotion to the rank of captain in the U.S. Navy Reserve.,21131,Robert Duncan,sponsor,832
SCR 2,Authorizing a proposed interim agreement between the parties of a lawsuit regarding individuals with intellectual disabilities and related conditions residing in or at risk of being admitted to nursing facilities.,21131,Robert Duncan,author,831
SR 106,Recognizing Dalton Ritter on the occasion of his retirement.,21131,Robert Duncan,author,831
SR 126,"In memory of Daniel G. San Miguel, Jr.",21131,Robert Duncan,author,831
SB 13,Relating to the State Pension Review Board and public retirement systems; authorizing a fee.,21131,Robert Duncan,author,83R
SB 397,Relating to the statute of limitations for an action on a credit card account.,21131,Robert Duncan,author,83R
SB 422,Relating to service of citation on a financial institution.,21131,Robert Duncan,author,83R
SB 435,Relating to the payment of tuition for public high school students who participate in college credit programs.,21131,Robert Duncan,author,83R
SB 531,Relating to self-insurance funds established by governmental units.,21131,Robert Duncan,author,83R
SB 559,Relating to the remittance dates of certain taxes and fees and the allocation dates of certain state money.,21131,Robert Duncan,author,83R
SB 575,Relating to the offense of the unauthorized duplication of certain recordings.,21131,Robert Duncan,author,83R
SB 576,Relating to the delay in the implementation of the abolishment of small claims courts.,21131,Robert Duncan,author,83R
SB 577,"Relating to filling vacancies in appellate judicial offices by appointment, partisan elections for all judicial offices, and nonpartisan elections for the retention or rejection for all judicial offices.",21131,Robert Duncan,author,83R
SB 578,Relating to use of countywide polling places for certain elections.,21131,Robert Duncan,author,83R
SB 588,Relating to the Eastland Memorial Hospital District.,21131,Robert Duncan,author,83R
SB 635,Relating to the distribution of certain civil penalties and civil restitution received by the attorney general.,21131,Robert Duncan,author,83R
SB 641,Relating to the election and authority of the board of directors of the McCulloch County Hospital District.,21131,Robert Duncan,author,83R
SB 679,Relating to certain records and supporting affidavits filed as evidence in certain actions.,21131,Robert Duncan,author,83R
SB 696,Relating to the board of the Lubbock Reese Redevelopment Authority.,21131,Robert Duncan,author,83R
SB 818,Relating to boll weevil eradication activities and programs.,21131,Robert Duncan,author,83R
SB 819,Relating to the disposal of demolition waste from abandoned or nuisance buildings by certain local governments.,21131,Robert Duncan,author,83R
SB 910,Relating to certain election practices and procedures.,21131,Robert Duncan,author,83R
SB 986,Relating to the powers and duties of the board of regents of the Texas Tech University System.,21131,Robert Duncan,author,83R
SB 1026,"Relating to the nonsubstantive revision of certain local laws concerning special districts, including conforming amendments.",21131,Robert Duncan,author,83R
SB 1078,Relating to the McCamey County Hospital District; authorizing the imposition of a tax.,21131,Robert Duncan,author,83R
SB 1079,Relating to the regulation of medical radiologic technology; providing penalties; imposing fees.,21131,Robert Duncan,author,83R
SB 1104,"Relating to the effect of rules and standards adopted by the Railroad Commission of Texas relating to the liquefied petroleum gas industry on ordinances, orders, or rules adopted by political subdivisions relating to that industry.",21131,Robert Duncan,author,83R
SB 1105,Relating to an agreement between the Department of Public Safety of the State of Texas and a county for the provision of renewal and duplicate driver's licenses and other identification certificate services in certain counties; authorizing a fee.,21131,Robert Duncan,author,83R
SB 1108,Relating to the allocation of money in the judicial and court personnel training fund.,21131,Robert Duncan,author,83R
SB 1111,"Relating to the composition of the 198th Judicial District, the creation of a judicial district composed of Edwards, Kimble, McCulloch, Mason, and Menard Counties, and the creation of the office of district attorney for the 444th Judicial District.",21131,Robert Duncan,author,83R
SB 1141,Relating to an adult high school diploma and industry certification pilot program for adults 19 to 50 years of age.,21131,Robert Duncan,author,83R
SB 1142,Relating to an adult high school diploma and industry certification charter school pilot program for adults 19 to 50 years of age.,21131,Robert Duncan,author,83R
SB 1203,Relating to the Knox County Hospital District; authorizing the imposition of a tax.,21131,Robert Duncan,author,83R
SB 1240,Relating to the partition of mineral interests of a charitable trust.,21131,Robert Duncan,author,83R
SB 1282,Relating to deadlines for proposals for adoption by certain districts or authorities of desired future conditions of relevant aquifers.,21131,Robert Duncan,author,83R
SB 1321,Relating to the consideration of a life insurance policy in determining eligibility for medical assistance.,21131,Robert Duncan,author,83R
SB 1332,Relating to who is an employee for large and small employers for health benefit plans.,21131,Robert Duncan,author,83R
SB 1339,Relating to contractual subrogation rights of certain insurers and benefit plan issuers.,21131,Robert Duncan,author,83R
SB 1365,Relating to the provision of credit by examination for public school students.,21131,Robert Duncan,author,83R
SB 1366,Relating to the use of certain funds of the Texas Health Insurance Pool.,21131,Robert Duncan,author,83R
SB 1367,Relating to abolishing the Texas Health Insurance Pool.,21131,Robert Duncan,author,83R
SB 1457,Relating to management services for the physical facilities of the Texas School for the Blind and Visually Impaired and the Texas School for the Deaf.,21131,Robert Duncan,author,83R
