bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
Help FAQ Site Map Contact Login,,58335,Kirk England,coauthor,84R,2805,Rep. Kirk England,Kirk England
Help FAQ Site Map Contact Login,,58335,Kirk England,coauthor,84R,2805,Rep. Kirk England,Kirk England
Help FAQ Site Map Contact Login,,58335,Kirk England,coauthor,84R,2805,Rep. Kirk England,Kirk England
,,58335,Kirk England,coauthor,84R,2805,Rep. Kirk England,Kirk England
H ome M y TLO H o use S enate L egislation Sea r ch Co m mittees C alendars,,58335,Kirk England,coauthor,84R,2805,Rep. Kirk England,Kirk England
HB 502,Relating to funding for the continuing education of certain peace officers.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 571,"Relating to permitting an owner, occupant, or lessee of agricultural land who is a certified prescribed burn manager to conduct a prescribed burn.",58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 572,Relating to the imposition by a county or municipality of fees related to certain collection services.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 752,"Relating to the authority of certain municipalities to enter into an agreement with a school district to dedicate revenue from a tax increment fund to the district for the acquisition, construction, or reconstruction of an educational facility.",58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 989,Relating to prior authorization for certain medical devices provided through the medical assistance program.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 1134,Relating to the authority of the Dallas County Flood Control District No. 1 to enter into a tax abatement agreement and to designate a reinvestment zone.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 1564,Relating to the eligibility for unemployment benefits of individuals who are unemployed due to certain labor disputes.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 1565,Relating to monetary assistance for substitute care provided to a child by a relative caregiver.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 1566,Relating to the authority of municipalities to regulate natural gas compressor station structures.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2031,Relating to the definition of sight order for purposes of prosecuting certain criminal offenses.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2032,Relating to the authority of certain municipalities to use tax revenue for certain venue projects.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2391,Relating to a franchise tax exclusion for contractual flow-through funds paid to certain performing artists.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2392,Relating to the persons entitled to redeem property after the foreclosure of a property owners' association's assessment lien.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2393,Relating to providing notice of foreclosure to certain lien holders.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2394,Relating to the requirements for recording a property owners' association management certificate.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 2395,Relating to disclosure of certain information by a property owners' association.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 3439,Relating to the development and use of an inmate skills development assessment instrument by the Texas Department of Criminal Justice.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 3525,Relating to telephone solicitations for certain law enforcement-related charitable organizations.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 3905,Relating to the hiring of applicants for a beginning position in the fire department or police department in certain municipalities.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 4470,Relating to birth records of adopted children.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HR 710,"Recognizing March 11, 2009, as Grand Prairie Chamber of Commerce Day at the State Capitol.",58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HCR 252,Requesting the governor to appoint a Governor's Task Force on Horse and Greyhound Racing.,58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HR 401,"Recognizing February 17, 2009, as Irving Day at the State Capitol.",58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HR 716,"Expressing intent that funds provided to the State of Texas by the American Recovery and Reinvestment Act be spent, as far as practicable, on domestic goods, materials, and services.",58335,Kirk England,author,81R,2805,Rep. Kirk England,Kirk England
HB 6,Relating to appropriations for damages and disruptions suffered by state agencies and institutions of higher education caused by natural disasters and to an appropriation for disaster relief generally.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 51,"Relating to measures to enhance and maintain the quality of state universities, including funding and incentives to support emerging public research universities, to the abolition of the higher education fund, to the institutional groupings under the Texas Higher Education Coordinating Board's accountability system, to the independent status of Lamar Institute of Technology, to research conducted by public universities and other state entities, and to the authorization of revenue bonds for certain institutions of higher education.",58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 130,Relating to an enhanced quality full-day prekindergarten program provided by public school districts in conjunction with community providers.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 873,"Relating to incentives for the film, television, video, and digital interactive media production industries.",58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 1277,"Relating to the Texas Enterprise Fund, including the use of money from the fund, the terms of a grant agreement, and the duties of a grant recipient or entity that acquires a grant recipient.",58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 1301,Relating to an employee's transportation and storage of certain firearms or ammunition while on certain property owned or controlled by the employee's employer.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 1893,Relating to the carrying of concealed handguns on the campuses of institutions of higher education.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 2070,Relating to the fee based on admissions to certain sexually oriented businesses.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 2083,Relating to determination of state contributions for participation by certain junior college employees in the state employees group benefits program.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 2355,Relating to the purchase of cement or cement products by certain governmental entities.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 2942,"Relating to accountability and transparency in government operations, including disclosure, oversight, and enforcement measures; providing penalties.",58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 3331,Relating to local option alcoholic beverage elections to change the status of an existing voting unit.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 3450,Relating to a temporary faculty license for chiropractic faculty.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HB 4261,"Relating to establishing a no-interest loan program to promote the use of energy efficiency measures and renewable energy technology in certain residential dwellings, commercial buildings, and places of worship.",58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HJR 39,Post-ratifying Amendment XXIV to the Constitution of the United States prohibiting the denial or abridgment of the right to vote for failure to pay any poll tax or other tax.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HJR 62,Proposing a constitutional amendment to provide that the Railroad Commission of Texas is governed by a single elected railroad commissioner.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
HR 1383,Reaffirming the pride of all Texans in our one and indivisible National Union and State.,58335,Kirk England,coauthor,81R,2805,Rep. Kirk England,Kirk England
SB 499,Relating to birth records of adopted children.,58335,Kirk England,sponsor,81R,2805,Rep. Kirk England,Kirk England
SB 1918,Relating to disclosure of certain information by a property owners' association.,58335,Kirk England,sponsor,81R,2805,Rep. Kirk England,Kirk England
SB 1919,Relating to the requirements for recording a property owners' association management certificate.,58335,Kirk England,sponsor,81R,2805,Rep. Kirk England,Kirk England
SB 2121,Relating to the persons entitled to redeem property after the foreclosure of a property owners' association's assessment lien.,58335,Kirk England,sponsor,81R,2805,Rep. Kirk England,Kirk England
