bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HB 2001,Relating to interlocal contracts between a governmental entity and a purchasing cooperative.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HB 2074,Relating to the eligibility of a Professional Rodeo Cowboys Association finals event to receive funding through a major events trust fund.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HB 2155,Relating to the abolition of the equine incentive program.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HB 2350,Relating to the amount that may be used to guarantee loans under the Texas Agricultural Finance Authority's agricultural loan guarantee program.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HB 2809,Relating to the creation and operations of health care provider participation programs in certain counties.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HB 3685,Relating to the employment status of certain individuals engaged in rehabilitative work-training programs.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HCR 37,Requesting creation of a joint interim committee to study a nonsubstantive reorganization of the Texas Constitution.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 198,"Recognizing February 4, 2015, as Waco Day at the State Capitol.",19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 258,Congratulating Dale and Janice Blackburn of Waco on their 50th wedding anniversary.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 271,Congratulating Jack and Marceline Aaron of China Spring on their 60th wedding anniversary.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 275,Commemorating the 2014 Veterans Day appreciation ceremony hosted by Crestview HealthCare Residence in Waco.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 277,Commemorating the 2014 Veterans Day appreciation ceremony hosted by Crestview HealthCare Residence in Waco.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 278,Congratulating Natalie James and DeeAnn Hoffman on their induction into the honor society Phi Kappa Phi.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 279,Congratulating Texas State Technical College on its receipt of a grant from the U.S. Department of Labor.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 321,Congratulating Tom and Donna Lene' of Waco on their 50th wedding anniversary.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 325,Congratulating Paul and Norma Jean Swanson of Waco on their 60th wedding anniversary.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 385,Honoring Dr. Edwin Trevathan on being named executive vice president and provost of Baylor University.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
HR 386,Congratulating Rachel Elise Spross of Crawford on her presentation as a debutante.,19690,Charles Doc Anderson,author,84R,2155,"Rep. Charles ""Doc"" Anderson",Charles Anderson
