bill_name,caption,filer_id,filer_name,function,session
HB 149,Relating to motor vehicle insurance coverage and liability for motor vehicle accidents; imposing civil and criminal penalties.,19063,Billy Clemons,author,74R
HB 1071,Relating to the procedures for hiring persons in a fire or police department under municipal civil service.,19063,Billy Clemons,author,74R
HB 1072,Relating to the eligibility for unemployment compensation benefits of employees of certain educational institutions.,19063,Billy Clemons,author,74R
HB 1131,"Relating to the rate of the gasoline tax and providing revenue from the gasoline tax to counties for acquiring rights-of-way, constructing, maintaining, and policing county roads.",19063,Billy Clemons,author,74R
HB 1295,Relating to the regulation of certain securities.,19063,Billy Clemons,author,74R
HB 2007,Relating to the appraisal for ad valorem tax purposes of inventory consisting of certain trailers and semitrailers.,19063,Billy Clemons,author,74R
HB 2008,Relating to credit in the Texas County and District Retirement System for service as a prosecuting attorney.,19063,Billy Clemons,author,74R
HB 2322,"Relating to transferring the music, film, television, and multimedia office from the office of the governor to the Texas Department of Commerce.",19063,Billy Clemons,author,74R
HB 2323,Relating to sunsetting the involvement of the attorney general's office in matters related to child support.,19063,Billy Clemons,author,74R
HB 2324,Relating to the establishment of the emergency medical services and trauma care systems development fund.,19063,Billy Clemons,author,74R
HB 2337,Relating to the eligibility for unemployment compensation benefits of certain employees of educational institutions.,19063,Billy Clemons,author,74R
HB 2472,Relating to the offense of cruelty to animals.,19063,Billy Clemons,author,74R
HCR 74,Commending ZaZa Marie Bass for saving the life of a child.,19063,Billy Clemons,author,74R
HJR 65,"Proposing a constitutional amendment allowing one cent of the gasoline tax to be used exclusively for acquiring rights-of-way, constructing, maintaining, policing, or supervising traffic and safety on public roadways.",19063,Billy Clemons,author,74R
HR 126,Congratulating Rayburn and Marie Richardson on their 50th wedding anniversary.,19063,Billy Clemons,author,74R
HR 127,Congratulating Wilbur and Otha Lee on their 50th wedding anniversary.,19063,Billy Clemons,author,74R
HR 625,Honoring the Dunbar Intermediate School seventh Grade history class.,19063,Billy Clemons,author,74R
HR 635,Honoring Jim E. Thomas on the occasion of his retirement.,19063,Billy Clemons,author,74R
HR 636,Honoring Verda Malone Logan on the occasion of her retirement.,19063,Billy Clemons,author,74R
HR 637,Honoring Joe W. Belk on the occasion of his retirement.,19063,Billy Clemons,author,74R
HB 988,Relating to home collection kits for human immunodeficiency virus infection testing; providing penalties.,19063,Billy Clemons,author,74R
HB 1796,Relating to student participation in extracurricular activities.,19063,Billy Clemons,author,74R
HB 2452,Relating to prohibiting the use of electroconvulsive therapy; providing a penalty.,19063,Billy Clemons,author,74R
HJR 12,Proposing a constitutional amendment to reserve to the people the powers of initiative and referendum.,19063,Billy Clemons,author,74R
HB 90,Relating to a period of silence in public schools.,19063,Billy Clemons,coauthor,74R
HB 332,Relating to the inclusion of tax abatements in the determination of the taxable property value of a school district.,19063,Billy Clemons,coauthor,74R
HB 839,Relating to imposing a limitation on the amount of special expenses that certain municipalities may retain from amounts collected in certain court proceedings.,19063,Billy Clemons,coauthor,74R
HB 840,Relating to the enforcement of the limitation on the amount that certain municipalities may retain from amounts collected for traffic violations.,19063,Billy Clemons,coauthor,74R
HB 930,Relating to benefits payable by the Teacher Retirement System of Texas.,19063,Billy Clemons,coauthor,74R
HB 949,Relating to the ability of incarcerated individuals to access and use certain public records or personal information pertaining to certain other individuals; providing a penalty.,19063,Billy Clemons,coauthor,74R
HB 1520,"Relating to health care, including powers and duties of the center for rural health initiatives, powers and duties of registered nurses and physician assistants, managed health care plans for certain inmates, and health facilities and services for the elderly or disabled.",19063,Billy Clemons,coauthor,74R
HCR 230,Commending the members of the Texas Task Force for Tiltrotor Technology.,19063,Billy Clemons,coauthor,74R
HJR 56,Proposing a constitutional amendment to limit the time that a person may serve in legislative office or in a statewide elective executive office.,19063,Billy Clemons,coauthor,74R
HR 499,"Designating March 29, 1995, as Lufkin-Nacogdoches Day at the State Capitol.",19063,Billy Clemons,coauthor,74R
HB 362,Relating to reports of timeshare expenses charged and collected by managing entities of timeshare properties; providing a civil penalty.,19063,Billy Clemons,author,73R
HB 363,Relating to the termination of the teacher career ladder.,19063,Billy Clemons,author,73R
HB 364,Relating to the regulation of telephone solicitation; providing civil and criminal penalties.,19063,Billy Clemons,author,73R
HB 365,Relating to the authority of the comptroller to freeze and levy on certain safety deposit boxes.,19063,Billy Clemons,author,73R
HB 366,Relating to the payment of certain tax refunds.,19063,Billy Clemons,author,73R
HB 367,Relating to income considered in determining the fee for services provided by a community center.,19063,Billy Clemons,author,73R
HB 368,Relating to motor vehicle insurance coverage and liability for motor vehicle accidents.,19063,Billy Clemons,author,73R
HB 640,Relating to an emergency appropriation to the Texas Forest Service to replace equipment and facilities destroyed by fire.,19063,Billy Clemons,author,73R
HB 1740,Relating to the procedures for hiring and promoting persons in a fire or police department under municipal civil service.,19063,Billy Clemons,author,73R
HB 1741,"Relating to providing the choice of ""none of the above"" on the election ballot for the general election for state and county officers.",19063,Billy Clemons,author,73R
HB 1971,"Relating to claims against non-profit hospital corporations having a patient mix of fifty percent (50%) or more persons who are eligible for Medicare, Medicaid, charity care, and/or are indigent at the time an incident is alleged to have occurred and for which non-profit hospital corporation bonds are issued under the Health Facilities Development Act.",19063,Billy Clemons,author,73R
HB 2776,Relating to the establishment of an Emergency Medical Services and Trauma Systems Development Fund; providing for the payment of funds to service providers by the Texas Department of Health; establishing criteria for the payment of such funds; and declaring an emergency.,19063,Billy Clemons,author,73R
HB 2871,Relating to the name of the County Court at Law of Angelina County.,19063,Billy Clemons,author,73R
HCM 119,"Congratulating Diboll Junior High School on their selection as a winner of the 1992-93 Safe, Drug Free School Award by the Texas Education Agency.",19063,Billy Clemons,author,73R
HCM 120,Commending Angelina County Chamber of Commerce Leadership Lufkin Program.,19063,Billy Clemons,author,73R
HCM 258,"Recognizing the Texas Forest Festival as the ""Official Texas Forest Festival"" for the State of Texas.",19063,Billy Clemons,author,73R
HCR 30,Granting James Loomer permission to sue the State of Texas and the Texas Department of Transportation.,19063,Billy Clemons,author,73R
HMM 61,"Paying tribute to the life of Horace Gandy ""Stubby"" Stubblefield, Jr.",19063,Billy Clemons,author,73R
HMM 62,Paying tribute to the life of Loy Beth Stubblefield.,19063,Billy Clemons,author,73R
HR 457,Honoring Angelina County for its contributions to the state of Texas.,19063,Billy Clemons,author,73R
HR 603,"Recognizing the Texas Forest Festival as the ""Official Texas Forest Festival"" for the State of Texas.",19063,Billy Clemons,author,73R
HB 148,Relating to the use of deadly force in defense of a person.,19063,Billy Clemons,author,73R
HB 1065,Relating to motor vehicle insurance coverage and liability for motor vehicle accidents; imposing civil and criminal penalties.,19063,Billy Clemons,author,73R
HB 51,Relating to the creation of a stalking offense.,19063,Billy Clemons,coauthor,73R
HB 864,Relating to work programs for inmates confined in county jail awaiting transfer to the institutional division of the Texas Department of Criminal Justice.,19063,Billy Clemons,coauthor,73R
HB 1634,Relating to the period for which students are suspended from participation in extracurricular activities on account of grades.,19063,Billy Clemons,coauthor,73R
HB 2835,Relating to providing for a benefit increase in certain annuities payable by the Teacher Retirement System of Texas.,19063,Billy Clemons,coauthor,73R
HCR 133,Memorializing the Congress of the United States to take all necessary action to ensure that Interstate 69 will enter Texas at Joaquin and follow along the least congested and most feasible route between the Louisiana- Texas and Texas-Mexico borders.,19063,Billy Clemons,coauthor,73R
HJR 18,Proposing a constitutional amendment to prohibit the imposition of personal taxes unless approved by the voters of this state.,19063,Billy Clemons,coauthor,73R
HJR 19,Proposing a constitutional amendment to require a two-thirds vote of the membership of each house of the legislature to enact certain tax bills.,19063,Billy Clemons,coauthor,73R
HJR 29,Proposing a constitutional amendment to reserve to the people the powers of initiative and referendum.,19063,Billy Clemons,coauthor,73R
HJR 36,Proposing a constitutional amendment to limit the tax rate on the income component of the franchise tax.,19063,Billy Clemons,coauthor,73R
HR 112,Commending the Honorable Gibson D. (Gib) Lewis on his long and distinguished tenure as speaker of the Texas House of Representatives and extending sincere appreciation to him for his many years of outstanding service on behalf of the legislature and the citizens of Texas.,19063,Billy Clemons,coauthor,724
SCR 9,Commending Sabine County Sheriff Blan Greer for a lifetime of accomplishment and dedicated public service and extending best wishes to him for a rewarding retirement.,19063,Billy Clemons,sponsor,724
HB 8,Relating to district offices of the Texas Department of Transportation.,19063,Billy Clemons,coauthor,723
HCR 18,Directing the Texas Transportation Commission to postpone reorganization of departmental district offices.,19063,Billy Clemons,coauthor,723
HB 77,Relating to United States attorneys and their assistants as peace officers.,19063,Billy Clemons,author,722
HB 103,Relating to United States Attorneys and their Assistants as special investigators under the Code of Criminal Procedure.,19063,Billy Clemons,author,722
HB 4,Relating to drug tests for candidates for and holders of certain state and district offices.,19063,Billy Clemons,coauthor,722
HB 100,Relating to the disposition of certain fees collected under the Certificate of Title Act.,19063,Billy Clemons,author,721
HB 158,"Relating to the administration and financing of, benefits payable by, and credit under programs administered by the Teacher Retirement System of Texas.",19063,Billy Clemons,coauthor,721
HB 74,Relating to surrogate parentage contracts; providing criminal penalties.,19063,Billy Clemons,author,72R
HB 78,Relating to the expenses a county may count toward eligibility for state assistance under the Indigent Health Care and Treatment Act.,19063,Billy Clemons,author,72R
HB 79,"Relating to the exemption of certain activities from the licensing and registration requirements under Chapter 97, Acts of the 70th Legislature, Regular Session, 1987 (Article 4477-3a, Vernon's Texas Civil Statutes).",19063,Billy Clemons,author,72R
HB 80,Relating to liability for certain tax refunds.,19063,Billy Clemons,author,72R
HB 81,Relating to the appraised value of timberland for purposes of ad valorem taxation.,19063,Billy Clemons,author,72R
HB 82,Relating to payments from political contributions for housing or household expenses; providing a criminal penalty.,19063,Billy Clemons,author,72R
HB 83,Relating to the termination of the teacher career ladder.,19063,Billy Clemons,author,72R
HB 85,Relating to the notification of a spouse and a waiting period before an abortion may be performed.,19063,Billy Clemons,author,72R
HB 86,Relating to abortions; providing criminal penalties.,19063,Billy Clemons,author,72R
HB 87,Relating to parental notification before an abortion may be performed on a minor; providing a criminal penalty.,19063,Billy Clemons,author,72R
HB 222,Relating to reports of timeshare expenses charged and collected by managing entities of timeshare properties; providing a civil penalty.,19063,Billy Clemons,author,72R
HB 223,Relating to reimbursement for certain textbooks at public institutions of higher education.,19063,Billy Clemons,author,72R
HB 342,Relating to implementation of annual legislative sessions and to political contributions made during a legislative session.,19063,Billy Clemons,author,72R
HB 479,Relating to the number and selection of members to the Texas Board of Health.,19063,Billy Clemons,author,72R
HB 480,Relating to the authority of a court to order the turnover of wages for personal services.,19063,Billy Clemons,author,72R
HB 589,Relating to liability and insurance coverage for injury resulting from motor vehicle accidents.,19063,Billy Clemons,author,72R
