bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HB 2861,Relating to the powers and duties of the boards of trustees and superintendents of independent school districts.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2862,Relating to the election of members of the boards of trustees of independent school districts.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2864,Relating to the small and mid-sized district adjustment under the public school finance system.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2865,Relating to the summoning of potential grand jurors.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2866,Relating to exempting boats and motors purchased exclusively for rental from the sales and use tax on boats and motors.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2867,Relating to certain offenses occurring on school property or at a school-sponsored or school-related activity as conduct indicating a need for supervision in certain counties.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2879,Relating to public school finance.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 2880,Relating to programs for students of limited English proficiency.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 3343,Relating to the operation and funding of certain group coverage programs for certain school and educational employees and their dependents.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 3344,Relating to electronic monitoring devices in the rooms of persons receiving treatment at a comprehensive medical rehabilitation facility or at a treatment facility and in the rooms of residents of convalescent or nursing homes or related institutions; providing criminal penalties.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HB 3345,Relating to the jurisdiction of a juvenile court over certain truant conduct.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HCR 103,"Recognizing February 6 and 7, 2001, as Rusk County Days at the State Capitol.",19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HCR 187,"Declaring March 1, 2001, as Texas Energy Education Development Day at the State Capitol.",19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HCR 220,"Designating March 19-20, 2001, as Panola County Days at the State Capitol.",19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HCR 228,"Designating March 27-28, 2001, as Marshall Days at the State Capitol.",19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
HCR 328,Instructing the enrolling clerk of the house of representatives to make corrections to H.B. No. 3343.,19534,Paul Sadler,author,77R,4370,Rep. Paul Sadler,Paul Sadler
