bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
SB 106,Relating to court jurisdiction and procedures relating to truancy; providing criminal penalties; imposing a court cost.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 107,Relating to the designation of campus behavior coordinators to serve at public school campuses and issues to be considered when removing a student from class.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 108,Relating to certain criminal procedures for misdemeanor offenses committed by children.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 135,Relating to the organization of a grand jury.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 231,Relating to certain duties of the Commission on Jail Standards regarding visitation periods for county jail prisoners.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 308,Relating to the powers and duties of campus police departments at private institutions of higher education.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 418,Relating to requests by the State Commission on Judicial Conduct for certain records held by court reporters.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 492,Relating to the prosecution of the offense of indecency with a child.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 536,Relating to the designation of certain prostitution prevention programs as commercially sexually exploited persons court programs.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 746,Relating to the civil commitment of sexually violent predators; amending provisions subject to criminal penalties.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 980,Relating to jurisdiction in an eminent domain proceeding in Harris County.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1096,"Relating to the nonsubstantive revision of certain laws concerning community supervision granted in criminal cases, including conforming amendments.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1160,Relating to implementation of a workplace violence prevention plan in certain hospitals; providing an administrative penalty.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1235,Relating to defining the duties and to the penalties concerning pain management clinics.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1256,Relating to notice requirements for certain meetings or hearings in fire or police departments in certain municipalities.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1257,Relating to the disciplinary suspension of a municipal firefighter in certain municipalities.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1258,Relating to vacancies created because of promotional appointments in certain municipal fire departments.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1395,Relating to the medical accuracy of informational materials given to a woman seeking an abortion.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1629,"Relating to civil liability of a person who produces, distributes, sells, or provides or aids in the production, distribution, sale, or provision of certain synthetic substances to another person for damages caused by the other person.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1630,Relating to the commitment of juveniles in post-adjudication secure correctional facilities operated by the Texas Juvenile Justice Department and by local probation departments.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1637,Relating to canine encounter training for peace officers.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1874,Relating to accessing criminal history record information and other records of involvement in the criminal justice system; authorizing fees; authorizing a civil penalty; creating criminal offenses.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 3,"Providing for procedures for the canvass of votes for the governor and lieutenant governor and the inauguration of the governor and lieutenant governor, and inviting the governor to address a joint session of the legislature on January 15, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 4,"Granting the legislature permission to adjourn for more than three days during the period beginning on Thursday, January 15, 2015, and ending on Tuesday, January 20, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 7,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, February 4, 2015, and ending on Monday, February 9, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 11,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, February 11, 2015, and ending on Tuesday, February 17, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 14,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, February 18, 2015, and ending on Monday, February 23, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 17,In memory of Bob Lanier.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 18,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, February 25, 2015, and ending on Monday, March 2, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 21,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, March 4, 2015, and ending on Monday, March 9, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 25,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, March 11, 2015, and ending on Monday, March 16, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 35,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, March 25, 2015, and ending on Monday, March 30, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 36,"Granting the legislature permission to adjourn for more than three days during the period beginning on Wednesday, April 1, 2015, and ending on Tuesday, April 7, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 1,Senate Caucus Report.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 133,"Granting the Texas DeMolay Association permission to use the Senate Chamber in the State Capitol on February 21 and 22, 2015.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 208,"Congratulating the 2015 Profiles of Prominence honorees of the Houston Northwest Chapter of National Women of Achievement, Incorporated.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 209,Recognizing the members of the Chinese International Women Entrepreneur and Professional Association for their contributions to our state.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 294,Recognizing the dedication of the W. P. Mulcahy House as a Recorded Texas Historic Landmark.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 410,"Recognizing March 31, 2015, as Firefighters and Paramedics Day.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 418,Recognizing Jewell Christine White Kyker on the occasion of her 90th birthday.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 1075,Senate Caucus Report.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 534,Relating to the oath of a person admitted to practice law in the State of Texas.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 769,Relating to reports to the Office of Court Administration of the Texas Judicial System on the composition of grand and petit juries in each county.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 856,Relating to the prohibition of certain discrimination based on sexual orientation or gender identity or expression; providing an administrative penalty; creating an offense.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SB 1864,Relating to requiring a peace officer to obtain a warrant to search a cellular telephone or other wireless communications device.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SCR 29,Urging Congress to update Voting Rights Act provisions to protect against voter discrimination.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 131,"Recognizing Jane Cummins, who was sworn in as president of the Texas Lyceum.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 217,"Celebrating February 23, 2015, as University of Houston System Day.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 297,Recognizing the Bob Bullock Scholars Program of Baylor University.,19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 398,"Extending condolences to the families of the missing students from Ayotzinapa, Guerrero, Mexico.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
SR 443,"Recognizing April 8, 2015, as Masonic Grand Lodge of Texas Day.",19581,John Whitmire,author,84R,1650,Sen. John Whitmire,John Whitmire
