bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HB 902,Relating to representatives of ex officio members of the Texas Committee on Energy Policy.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 903,Relating to meetings of the Texas Committee on Energy Policy.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 904,Relating to an arrest for the offense of public intoxication.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 961,Relating to indemnity provisions in certain agreements for services relating to real property.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 1178,Relating to the applicability of production limitations to certain marginal gas wells.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 1179,Relating to the application of the oil production tax to new or expanded enhanced recovery projects.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 1180,Relating to a limitation of liability of a licensed installer or servicer of a liquefied petroleum gas system in a motor vehicle.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 1243,Relating to energy savings projects for local governments.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 1496,Relating to certain exemptions from regulation under the Real Estate License Act.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 1819,Relating to coverage under certain health benefit plans for massage therapy.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3482,Relating to the requirement that a taxing unit proposing to increase total ad valorem tax revenues hold a public hearing on the increase.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3483,Relating to the offense of interfering with child custody.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3484,Relating to the use and distribution of a regulated herbicide and certain pesticides.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3485,Relating to commissioning certain reserve deputy sheriffs as peace officers.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3486,Relating to the right of certain licensed peace officers to carry a concealed handgun.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3487,Relating to the distribution of and fees charged by health care providers or health facilities for certain medical or mental health records.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3488,Relating to the period of time in which a person has to apply for a tax refund or credit.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3489,Relating to the imposition of fees on certain pipelines.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
HB 3490,Relating to the Texas Experimental Research and Recovery Activity (TERRA) of the Railroad Commission of Texas.,20370,Steve Holzheauser,author,75R,3295,Rep. Steve Holzheauser,Steve Holzheauser
