bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
HB 754,Relating to the responsibilities of amusement park riders and to suits brought for injuries incurred on amusement park rides.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 796,Relating to the regulation of air conditioning and refrigeration contractors; providing penalties.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 797,Relating to the regulation of the sale and use of certain refrigerants; providing a criminal penalty.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 798,Relating to an exemption from regulation as a proprietary school for certain nonprofit associations that conduct training programs regarding air conditioning and refrigeration contracting.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 799,Relating to an exemption from the Residential Service Company Act for persons who are licensed to perform air conditioning and refrigeration contracting.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 800,Relating to municipal requirements regarding the regulation of air conditioning and refrigeration contractors.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 801,Relating to persons who may inspect certain air conditioning systems as part of a real estate inspection.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 826,Relating to criminal responsibility of a parent for a child's delinquent conduct; providing a penalty.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1014,Relating to police officer overtime and police officers and fire fighters who temporarily fill higher positions.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1225,Relating to registration and insurance requirements for a former military vehicle.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1259,Relating to security obligations of a licensed seller of checks.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1298,Relating to access to criminal history record information by the banking commissioner.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1299,Relating to transaction fees for the use of an electronic terminal connected to a shared electronic network.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1615,Relating to the appeal of orders of and civil penalties assessed by the consumer credit commissioner.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1616,Relating to the regulation of retail installment contracts of certain goods and services.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 1907,"Relating to depositories for county public funds, trust funds, and court registry funds.",19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 2285,Relating to the demolition of a public building in certain municipalities.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HB 3071,Relating to the amounts that may be charged and collected in connection with a loan or other extension of credit.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HCR 84,Welcoming the seventh grade class of St. Mark's School to the Texas Capitol.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HCR 181,"Honoring the late Herb Walne, Jr., and the opening of Herb's Paint & Body Shop #4.",19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 132,Recognizing Dallas Caribbean Carnival Day 1995.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 233,Congratulating John Paul Drake on attaining the rank of Eagle Scout.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 234,Congratulating Jeffrey Wilson Deats on attaining the rank of Eagle Scout.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 235,Congratulating Kevin Lee Meyer on attaining the rank of Eagle Scout.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 236,Congratulating James William Molaison on attaining the rank of Eagle Scout.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 295,Congratulating Curtis Paul Lalla on attaining the rank of Eagle Scout.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
HR 344,Commending Jan Rabb Friedheim and the Executive Secretarial School.,19837,John Carona,author,74R,2405,Rep. John Carona,John Carona
