bill_name,caption,filer_id,filer_name,function,session
HB 767,Relating to cardiac assessments of participants in extracurricular athletic activities sponsored or sanctioned by the University Interscholastic League.,None,Wayne Smith,author,84R
HB 870,Relating to the investment training requirement for certain local government financial officers.,None,Wayne Smith,author,84R
HB 904,Relating to the transfer of certain inmates to the Texas Department of Criminal Justice following pronouncement of the inmate's sentence.,None,Wayne Smith,author,84R
HB 1070,Relating to a reduction in the cost of attendance credits for certain school districts that purchase windstorm and hail insurance.,None,Wayne Smith,author,84R
HB 1247,Relating to presumptions in contested case hearings regarding certain environmental permit applications.,None,Wayne Smith,author,84R
HB 1414,Relating to a prohibition of restrictions on the grade levels at which a public high school student may be eligible to enroll in a dual credit course.,None,Wayne Smith,author,84R
HB 1879,Relating to exemptions from continuing education requirements for certain county commissioners.,None,Wayne Smith,author,84R
HB 2022,Relating to the maximum capacity of a container of wine sold to a retail dealer; amending a provision subject to a criminal penalty.,None,Wayne Smith,author,84R
HB 2167,Relating to certain images captured by an unmanned aircraft.,None,Wayne Smith,author,84R
HB 2187,Relating to the regulation of metal recycling entities; imposing an administrative penalty; amending provisions subject to a criminal penalty.,None,Wayne Smith,author,84R
HB 2296,Relating to regulation by a municipality of the possession of an open container or the public consumption of alcoholic beverages.,None,Wayne Smith,author,84R
HB 2297,Relating to the use of electronic processes by and electronic information submitted to the Texas Alcoholic Beverage Commission; authorizing a fee.,None,Wayne Smith,author,84R
HB 2339,Relating to consumption of alcoholic beverages in public entertainment facilities.,None,Wayne Smith,author,84R
HB 2439,Relating to inspections and other activities conducted by engineers in connection with the issuance of certain windstorm and hail insurance; authorizing a fee.,None,Wayne Smith,author,84R
HB 2464,Relating to the transfer of a plumber's license on the retirement or death of the plumber.,None,Wayne Smith,author,84R
HB 2465,Relating to  the licensing and regulation of plumbers; amending provisions subject to a criminal penalty.,None,Wayne Smith,author,84R
HB 2481,"Relating to the licensing and regulation of auctioneers, associate auctioneers, and auctions; requiring an occupational license; requiring a fee.",None,Wayne Smith,author,84R
