bill_name,caption,filer_id,filer_name,function,session
HB 170,"Relating to regulation of the sale, distribution, possession, use, and advertising of e-cigarettes, cigarettes, and tobacco products; creating criminal offenses.",24376,Carol Alvarado,author,84R
HB 171,Relating to limits on the size of fifth grade classes in public schools.,24376,Carol Alvarado,author,84R
HB 173,Relating to information reported by a public school district regarding prekindergarten classes.,24376,Carol Alvarado,author,84R
HB 953,Relating to electronic voter registration.,24376,Carol Alvarado,author,84R
HB 954,Relating to an electronic application for voter registration and a ballot to be voted by mail.,24376,Carol Alvarado,author,84R
HB 1155,Relating to the creation of the Recruit Texas Program to facilitate the relocation to or expansion in this state of employers offering complex or high-skilled employment opportunities.,24376,Carol Alvarado,author,84R
HB 1156,Relating to the establishment of an electronic information and application system for state and local incentives for economic development purposes.,24376,Carol Alvarado,author,84R
HB 1157,Relating to funding for public school career and technology education programs.,24376,Carol Alvarado,author,84R
HB 1172,Relating to creating a program to recognize before-school and after-school programs that promote healthy eating and physical activity.,24376,Carol Alvarado,author,84R
HB 1251,Relating to the transfer of compensation experience for purposes of the Texas Unemployment Compensation Act.,24376,Carol Alvarado,author,84R
HB 1293,Relating to the confidentiality of identifying information of victims of stalking; creating a criminal offense.,24376,Carol Alvarado,author,84R
HB 1505,Relating to authorizing the issuance of revenue bonds to fund a science and technology building at the downtown campus of the University of Houston.,24376,Carol Alvarado,author,84R
HB 1543,Relating to the creation of the Advisory Council on Hispanic Affairs in the office of the governor.,24376,Carol Alvarado,author,84R
HB 1812,Relating to grants awarded to reimburse counties for the cost of monitoring defendants and victims in criminal cases involving family violence.,24376,Carol Alvarado,author,84R
HB 1882,Relating to notice requirements for certain witnesses who are scheduled to appear before a grand jury.,24376,Carol Alvarado,author,84R
HB 1896,Relating to the Texas Educational Opportunity Grant program.,24376,Carol Alvarado,author,84R
HB 2149,"Relating to the prescription, administration, and possession of certain opioid antagonists for the treatment of suspected opioid overdoses, training about opioid antagonists and drug overdoses, and grants for related programs.",24376,Carol Alvarado,author,84R
HB 2150,Relating to the organization of a grand jury.,24376,Carol Alvarado,author,84R
HB 2785,Relating to notice requirements for certain meetings or hearings in fire or police departments in certain municipalities.,24376,Carol Alvarado,author,84R
HB 2914,Relating to the exemption from ad valorem taxation of property owned by certain charitable organizations that provide affordable housing to low-income veterans and their dependents.,24376,Carol Alvarado,author,84R
HB 2917,Relating to the authority of certain municipalities to impose term limits on certain elected officials.,24376,Carol Alvarado,author,84R
HB 3032,Relating to vacancies created because of promotional appointments in certain municipal fire departments.,24376,Carol Alvarado,author,84R
HB 3033,Relating to the disciplinary suspension of a municipal firefighter in certain municipalities.,24376,Carol Alvarado,author,84R
HB 3088,Relating to applications for permits issued by the Texas Commission on Environmental Quality for certain new or expanded facilities in certain low-income and minority communities.,24376,Carol Alvarado,author,84R
HB 3311,Relating to the scoring criteria for an application for a low income housing tax credit and the allocation of those credits to developments reserved for elderly persons.,24376,Carol Alvarado,author,84R
HB 3322,Relating to the regulation of and federal funding for certain child-care providers.,24376,Carol Alvarado,author,84R
