Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HJR 15,Proposing a constitutional amendment requiring the state to pay at least 50 percent of the cost of maintaining and operating the public school system and prohibiting the comptroller from certifying legislation containing an appropriation unless the requirement is met.,51650,Bob Griggs,coauthor,793,3010,Rep. Bob E. Griggs,Bob Griggs
1,1,1,HR 21,Honoring Harris Methodist H.E.B. Hospital in Bedford for donating automatic external defibrillators to all Northeast Tarrant County high schools and to Tarrant County College Northeast.,51650,Bob Griggs,author,792,3010,Rep. Bob E. Griggs,Bob Griggs
2,2,2,HB 189,Relating to increases in the tax on cigarettes and other tobacco products and to the allocation of those increases.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
3,3,3,HB 1522,Relating to the operation and movement of motorcycles during periods of traffic congestion.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
4,4,4,HR 61,"Honoring Frank Metts, Jr., of North Richland Hills on the occasion of his retirement from the city council.",51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
5,5,5,HR 500,"Recognizing the week of March 7-11, 2005, as Texas School Lunch Week.",51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
6,6,6,HB 713,Relating to the punishment for forgery committed against an elderly person.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
7,7,7,HB 714,Relating to the punishment for criminal simulation committed against an elderly person.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
8,8,8,HB 715,Relating to the punishment for credit card or debit card abuse committed against an elderly person.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
9,9,9,HB 716,Relating to the punishment for false statements to obtain property or credit committed against an elderly person.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
10,10,10,HB 717,Relating to the punishment for fraudulent use or possession of an elderly person's identifying information.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
11,11,11,HB 1579,Relating to certain retired school employees and the powers and duties of the Teacher Retirement System of Texas.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
12,12,12,HR 1220,"Honoring Judge Jack Pope, on the occasion of his 92nd birthday, for his dedicated service to the State of Texas.",51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
13,13,13,HR 1369,"Honoring Bobby Morrow on the golden anniversary of his three gold medal victories in the Olympic Games in Melbourne, Australia.",51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
14,14,14,HR 1520,Honoring David Leeson on his receipt of a 2004 Pulitzer Prize for his photojournalistic coverage of the invasion of Iraq.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
15,15,15,HR 2199,Congratulating the Highland Oaks Church of Christ on their 150th Anniversary.,51650,Bob Griggs,author,79R,3010,Rep. Bob E. Griggs,Bob Griggs
16,16,16,HB 23,Relating to the use of credit scoring in certain lines of personal insurance.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
17,17,17,HB 67,Relating to designating August 26 as Women's Independence Day.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
18,18,18,HB 101,Relating to funding for public school career and technology programs.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
19,19,19,HB 120,"Relating to the creation of a donor education, awareness, and registry program, the establishment of an organ donor and tissue council, and anatomical gift donation.",51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
20,20,20,HB 129,Relating to the authority to require a convicted person to perform manual labor for a nonprofit organization or a cemetery maintained by the county.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
21,21,21,HB 157,Relating to the conditions of community supervision for certain persons convicted of an intoxication offense.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
22,22,22,HB 180,Relating to appropriations to The Texas A&M University System and to Texas A&M University--Kingsville in connection with the Irma Rangel School of Pharmacy.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
23,23,23,HB 225,Relating to the issuance and expiration of certain licenses to carry a concealed handgun.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
24,24,24,HB 391,Relating to computer-assisted hunting from remote locations; providing penalties.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
25,25,25,HB 527,Relating to the punishment of certain assaults committed against employees of primary and secondary schools.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
26,26,26,HB 528,Relating to exemptions from the sales tax for school supplies and other instructional material.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
27,27,27,HB 894,Relating to produce samples at municipally owned farmers' markets.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
28,28,28,HB 1130,Relating to the adoption of a privacy policy by a person who requires the disclosure of an individual's social security number; providing a civil penalty.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
29,29,29,HB 1212,Relating to abortion and parental consent to an abortion; providing penalties.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
30,30,30,HB 1348,Relating to political contributions and expenditures; providing civil and criminal penalties.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
31,31,31,HB 1771,Relating to the Medicaid managed care delivery system.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
32,32,32,HB 2061,"Relating to the right of health care facilities, health insurers, and health care providers to object to providing or participating in the provision of certain procedures.",51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
33,33,33,HB 2572,Relating to the functions of local mental health and mental retardation authorities.,51650,Bob Griggs,coauthor,79R,3010,Rep. Bob E. Griggs,Bob Griggs
