Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HB 33,Relating to the establishment and operation of an academic health center in the Rio Grande Valley.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
1,1,1,HB 205,Relating to the appointment or employment of veterans and certain relatives of veterans by public entities.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
2,2,2,HB 374,Relating to the issuance of a sticker showing the license plate letters and numbers of a motor vehicle.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
3,3,3,HB 375,Relating to billing for an assessment by certain municipalities for expenses incurred in relation to certain neglected property.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
4,4,4,HB 1692,Relating to a parenting education program in public schools.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
5,5,5,HB 2235,Relating to citrus fruit maturity standards.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
6,6,6,HB 2475,Relating to the handling and marketing of citrus fruits and vegetables and to the produce recovery fund.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
7,7,7,HB 2536,Relating to establishing a citrus budwood certification program for the designation of foundation groves containing citrus trees from which citrus budwood is certified as free of certain pathogens and as to type of citrus variety; providing penalties.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
8,8,8,HCR 42,"Designating January 23, 1995, as Grapefruit Day in Texas.",19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
9,9,9,HCR 79,"In memory of Corporal Harlon Block, U.S.M.C.",19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
10,10,10,HCR 106,Requesting the governor to return House Concurrent Resolution 79 to the house of representatives and instructing the enrolling clerk of the house to correct the resolution.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
11,11,11,HCR 164,"In memory of Corporal Harlon Block, U.S.M.C.",19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
12,12,12,HR 521,In memory of Elodia Cirilo Elizondo.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
13,13,13,HR 830,Commending Roberto Perez II.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
14,14,14,HR 831,In memory of Gloria Champion Cabaza.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
15,15,15,HR 1101,"Suspending limitations on conference committee jurisdiction, S.B. 646.",19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
16,16,16,HR 1228,Honoring Larry and Patti Dittburner.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
17,17,17,HR 1229,Honoring Weslaco Mayor Gene A. Braught.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
18,18,18,HB 669,Relating to the quarantine of rabid animals.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
19,19,19,HB 1018,Relating to the provision by the state of surety bonds for historically underutilized businesses.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
20,20,20,HB 2314,Relating to the election of the members of the board of trustees of South Texas Community College.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
21,21,21,HCR 207,Urging the Mexican government to prevent Mexican farmers from siphoning water from the Rio Grande.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
22,22,22,HJR 2,Proposing a constitutional amendment authorizing the legislature to provide for the issuance of bonds to provide surety bonds for historically underutilized businesses.,19118,Renato Cuellar,author,74R,2646,Rep. Renato Cuellar,Renato Cuellar
23,23,23,HB 2,Relating to restrictions on contributions to legislative caucuses during regular sessions of the legislature and to reporting requirements concerning caucus contributions and expenditures; providing penalties.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
24,24,24,HB 157,Relating to the punishment for the offense of assault of certain employees of a primary or secondary school.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
25,25,25,HB 230,Relating to removal of restrictions on investment of certain funds in businesses doing business in South Africa.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
26,26,26,HB 243,Relating to the issuance of a license for the carrying of certain weapons by judges and justices.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
27,27,27,HB 579,Relating to the creation of an offense for the possession of certain weapons in a school zone.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
28,28,28,HB 721,Relating to the control of rabies; providing criminal penalties.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
29,29,29,HB 858,Relating to instruction in cardiopulmonary resuscitation for public school students.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
30,30,30,HB 2490,Relating to audits of certain state loan programs.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
31,31,31,HB 3189,Relating to the board of directors of the Edwards Aquifer Authority and the management of the Edwards Aquifer.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
32,32,32,HCR 35,Paying tribute to the life of Jacqueline Lee Bouvier Kennedy Onassis.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
33,33,33,HCR 213,Requesting the attorney general to investigate traffic ticket traps.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
34,34,34,HCR 230,Commending the members of the Texas Task Force for Tiltrotor Technology.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
35,35,35,HJR 33,Proposing a constitutional amendment allowing investment of money from the Texas growth fund in a business without the business's disclosure of its investments in or with South Africa or Namibia.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
36,36,36,HR 302,"In memory of Henry Sanchez, Jr.",19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
37,37,37,HR 346,"In memory of Adolfo D. ""A. D."" Raymond, Sr.",19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
38,38,38,HR 380,In memory of Cesar Menchaca.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
39,39,39,HR 579,In memory of Selena Quintanilla Perez.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
40,40,40,HR 931,In memory of Mary Beatrice Romani.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
41,41,41,HR 974,Congratulating Representative Gilbert Serna on the occasion of his birthday.,19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
42,42,42,HR 1234,"Designating the third Saturday in October of each year as Dia del Rio, or Day of the River, in the Rio Grande Basin.",19118,Renato Cuellar,coauthor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
43,43,43,SB 251,Relating to the handling and marketing of citrus fruits and vegetables and to the produce recovery fund.,19118,Renato Cuellar,sponsor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
44,44,44,SB 525,Relating to the purchase of agricultural products by a public institution of higher education.,19118,Renato Cuellar,sponsor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
45,45,45,SB 646,Relating to the appointment or employment of veterans and certain relatives of veterans by public entities.,19118,Renato Cuellar,sponsor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
46,46,46,SB 1146,Relating to citrus fruit maturity standards.,19118,Renato Cuellar,sponsor,74R,2646,Rep. Renato Cuellar,Renato Cuellar
