Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HCR 26,"Declaring October 2, 2003, to be Lisa Marie Presley Day in Texas.",20996,Ron Wilson,author,783,5000,Rep. Ron Wilson,Ron Wilson
1,1,1,HJR 3,Proposing a constitutional amendment relating to the determination of a quorum of the senate or house of representatives.,20996,Ron Wilson,author,783,5000,Rep. Ron Wilson,Ron Wilson
2,2,2,HJR 4,Proposing a constitutional amendment relating to the determination of a quorum of the senate or house of representatives.,20996,Ron Wilson,author,783,5000,Rep. Ron Wilson,Ron Wilson
3,3,3,HR 88,Honoring Houston historian and educator Willie Lee Gay.,20996,Ron Wilson,author,782,5000,Rep. Ron Wilson,Ron Wilson
4,4,4,HB 55,Relating to the continuation and functions of the Texas Lottery Commission; providing penalties.,20996,Ron Wilson,author,781,5000,Rep. Ron Wilson,Ron Wilson
5,5,5,HB 152,Relating to certain life insurance policies insuring the life of an employee.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
6,6,6,HB 293,Relating to creation of a public education voucher pilot program for certain children.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
7,7,7,HB 480,"Relating to eligibility of land located in certain municipalities to be appraised for ad valorem tax purposes as land designated for agricultural use, open-space land, timber land, or restricted-use timber land.",20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
8,8,8,HB 481,Relating to racial profiling by airport security personnel; imposing a criminal penalty.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
9,9,9,HB 482,Relating to lowering the minimum voting age in elections.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
10,10,10,HB 483,Relating to the requirements for the establishment of a state airport in Central Texas.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
11,11,11,HB 484,Relating to automatic admission to graduate or professional degree programs at institutions of higher education.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
12,12,12,HB 485,"Relating to the exemption of residential property from ad valorem taxes, assessments, and impact fees imposed by the Midtown Management District.",20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
13,13,13,HB 486,Relating to the establishment and operation of a state-owned casino in Harris County; providing penalties.,20996,Ron Wilson,author,78R,5000,Rep. Ron Wilson,Ron Wilson
