Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HB 329,Relating to the guaranteed level of state and local funds for the instructional facilities allotment and the existing debt allotment under the public school finance system.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
1,1,1,HB 330,Relating to the appointment of a nonvoting faculty regent to the board of regents of each state university or state university system.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
2,2,2,HB 331,Relating to liability insurance for persons holding certain alcoholic beverage permits.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
3,3,3,HB 483,Relating to an administrative fee for defendants required by a court to perform community service in lieu of serving a term of confinement in county jail.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
4,4,4,HB 1244,Relating to a provisional license for convalescent and nursing home facilities.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
5,5,5,HB 1319,Relating to an exemption for school districts from security for court costs and appeal bond.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
6,6,6,HB 1717,Relating to the regulation of metal recycling entities.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
7,7,7,HB 1795,Relating to newborn screening and the creation of the Newborn Screening Advisory Committee.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
8,8,8,HB 1880,"Relating to an enhanced penalty for an operator who commits certain traffic offenses while using a wireless communication device to read, write, or send a text-based communication.",57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
9,9,9,HB 2101,Relating to the place for the convening of a county convention.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
10,10,10,HB 2216,Relating to the regulation of the maintenance of telephone and electric utility poles.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
11,11,11,HB 2277,Relating to civil liability for selling or serving alcoholic beverages.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
12,12,12,HB 2831,Relating to the offense of improper relationship between educator and student.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
13,13,13,HB 3331,Relating to local option alcoholic beverage elections to change the status of an existing voting unit.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
14,14,14,HR 147,Honoring Ron Hall and Denver Moore for their efforts in behalf of the homeless community in Fort Worth and across the country.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
15,15,15,HR 194,"Recognizing February 17, 2009, as Mansfield Day at the State Capitol.",57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
16,16,16,HR 212,"Recognizing February 4, 2009, as Voices for Change Day and commending the organizations Texans Care For Children, the Texas Network of Youth Services, and Children at Risk.",57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
17,17,17,HR 648,Commemorating the 50th anniversary of the Boys and Girls Clubs of Arlington.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
18,18,18,HR 1761,Honoring the contribution to the Texas economy of General Motors and the Arlington Assembly Plant.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
19,19,19,HB 498,Relating to the establishment of an advisory panel to assist with a study regarding the prevention of wrongful convictions.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
20,20,20,HB 528,Relating to the offense of failing to secure a child passenger in a motor vehicle and to fines for the offense.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
21,21,21,HB 860,Relating to sanctions available for certain academically unacceptable campuses.,57708,Paula Pierson,author,81R,4175,Rep. Paula Pierson,Paula Pierson
