Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,SCR 3,"In memory of A. W. ""Dub"" Riter, Jr., of Tyler.",-1,Gov. Bill Ratliff,author,783,1480,Gov. Bill Ratliff,Gov. Ratliff
1,1,1,HCR 6,Designating Kilgore as the official Texas City of Stars.,-1,Gov. Bill Ratliff,sponsor,783,1480,Gov. Bill Ratliff,Gov. Ratliff
2,2,2,HCR 16,Honoring General (Ret.) Tommy Ray Franks for his military achievements.,-1,Gov. Bill Ratliff,sponsor,783,1480,Gov. Bill Ratliff,Gov. Ratliff
3,3,3,SCR 2,Honoring Bobby R. Walters of Paris on his retirement.,-1,Gov. Bill Ratliff,author,782,1480,Gov. Bill Ratliff,Gov. Ratliff
4,4,4,SB 19,Relating to audit and other related functions of the State Auditor and of certain other state entities.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
5,5,5,SB 733,Relating to the purchase by certain local governments of an item from a local vendor.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
6,6,6,SB 734,Relating to the power of appointment in certain municipalities having city managers.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
7,7,7,SB 755,Relating to a disclosure of a financial interest or employment by a committee member or the executive director of the Office of Rural Community Affairs.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
8,8,8,SB 912,Relating to surplus and salvage computer equipment.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
9,9,9,SB 1267,Relating to the collection of and the penalties incurred on delinquent ad valorem taxes.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
10,10,10,SB 1292,Relating to extending the boundaries of a junior college district to include territory in the district's service area.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
11,11,11,SB 1331,"Relating to procurement procedures for construction-related services for public school districts, institutions of higher education, and the Texas Building and Procurement Commission.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
12,12,12,SB 1418,Relating to ex officio appointments of members of the Texas Senate to boards and commissions.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
13,13,13,SB 1437,Relating to delay in the deregulation of certain electric utilities.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
14,14,14,SB 1481,Relating to the repeal of the Caddo Lake Compact.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
15,15,15,SB 1630,Relating to overhead expenses of conducting research at institutions of higher education and the indirect cost reimbursement related to that research.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
16,16,16,SB 1875,"Relating to the application of the open meetings law and the public information law to deliberations and information regarding the safety, security, or integrity of public wholesale water and sewerage supplies and public water and sewerage systems.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
17,17,17,SB 1876,Relating to the conditional grant program administered by the Texas Department of Transportation.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
18,18,18,SB 1951,Relating to the sale of certain land dedicated to the permanent school fund.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
19,19,19,SB 1954,Relating to a requirement that the Bureau of Economic Geology of The University of Texas at Austin conduct a study of the East Texas Oil Field.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
20,20,20,SB 1955,Relating to the Red River Redevelopment Authority; providing the power of eminent domain and the power to issue bonds.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
21,21,21,SJR 4,Proposing a constitutional amendment to permit the legislature to require the sale of certain land dedicated to the permanent school fund.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
22,22,22,SR 153,"Recognizing February 11 and 12, 2003, as Rusk County Days at the State Capitol.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
23,23,23,SR 154,"Recognizing February 12, 2003, as Panola County Day at the State Capitol.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
24,24,24,SR 206,"Declaring February 19, 2003, as Pittsburg Day at the State Capitol.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
25,25,25,SR 441,"Recognizing March 25, 2003, as Longview Day at the State Capitol.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
26,26,26,SR 591,"In memory of George Eastland Christian, Jr., of Austin.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
27,27,27,SR 662,In memory of the Honorable Tom Haywood of Wichita Falls.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
28,28,28,SR 686,"Recognizing May 4, 2003, as Robert F. Hunt Day in Diana.",-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
29,29,29,SR 698,Recognizing Katherine Staat for her 26 years of service with Senate Media Services.,-1,Gov. Bill Ratliff,author,78R,1480,Gov. Bill Ratliff,Gov. Ratliff
