Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,SB 1,"Relating to the creation and functions of legislative select committees on transportation funding, expenditures, and finance and to the preservation of a sufficient balance in the economic stabilization fund.",-1,Bob Deuell,author,833,1160,Sen. Bob Deuell,Bob Deuell
1,1,1,SB 10,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education.,-1,Bob Deuell,author,833,1160,Sen. Bob Deuell,Bob Deuell
2,2,2,SJR 1,Proposing a constitutional amendment to provide for the transfer of certain general revenue to the economic stabilization fund and to the state highway fund and for the dedication of the revenue transferred to the state highway fund.,-1,Bob Deuell,author,833,1160,Sen. Bob Deuell,Bob Deuell
3,3,3,SB 3,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education; making an appropriation.,-1,Bob Deuell,coauthor,833,1160,Sen. Bob Deuell,Bob Deuell
4,4,4,HCR 4,"Designating the week beginning September 8, 2013, as Direct Support Professionals Recognition Week in Texas.",-1,Bob Deuell,sponsor,832,1160,Sen. Bob Deuell,Bob Deuell
5,5,5,SB 24,Relating to minimum standards for abortion facilities.,-1,Bob Deuell,author,831,1160,Sen. Bob Deuell,Bob Deuell
6,6,6,SR 38,Welcoming Alosha Landon Prettyman to Texas.,-1,Bob Deuell,author,831,1160,Sen. Bob Deuell,Bob Deuell
7,7,7,SR 39,Welcoming Svetlana Grace Prettyman to Texas.,-1,Bob Deuell,author,831,1160,Sen. Bob Deuell,Bob Deuell
8,8,8,SR 104,In memory of Frank Wesley Greenhaw.,-1,Bob Deuell,author,831,1160,Sen. Bob Deuell,Bob Deuell
9,9,9,SR 126,"In memory of Daniel G. San Miguel, Jr.",-1,Bob Deuell,author,831,1160,Sen. Bob Deuell,Bob Deuell
10,10,10,SB 147,Relating to the amount of outstanding total liability of a mortgage guaranty insurer.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
11,11,11,SB 166,Relating to the use by certain health care providers of electronically readable information from a driver's license or personal identification certificate.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
12,12,12,SB 167,Relating to safety training for employees of certain contractors with a governmental entity.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
13,13,13,SB 185,Relating to information regarding the number of public school students with dyslexia.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
14,14,14,SB 253,Relating to newborn screening for congenital heart defects.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
15,15,15,SB 254,Relating to the satisfaction of a condition of community supervision requiring performance of community service.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
16,16,16,SB 255,Relating to the creation of a voluntary consumer-directed health plan for certain individuals eligible to participate in the group benefits program provided under the Texas Employees Group Benefits Act and their qualified dependents.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
17,17,17,SB 256,Relating to tracking career information for graduates of Texas medical schools and persons completing medical residency programs in Texas.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
18,18,18,SB 257,Relating to notice of inaccurate payment or nonpayment of certain claims under certain health benefit plans.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
19,19,19,SB 258,"Relating to the authority of a psychologist to delegate the provision of certain care to a person under the psychologist's supervision, including a person training to become a psychologist.",-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
20,20,20,SB 295,Relating to lender notice to contractors regarding a construction loan or financing agreement for the improvement of real property and related procedures for suspending contractors' and subcontractors' performance.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
21,21,21,SB 296,Relating to the waiver of sovereign immunity for certain claims arising under written contracts with state agencies.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
22,22,22,SB 303,Relating to advance directives and health care and treatment decisions.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
23,23,23,SB 379,Relating to information for prevention of sudden cardiac arrest affecting public school students participating in interscholastic athletics.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
24,24,24,SB 413,Relating to medical care and public health services provided by a health care professional in a licensed freestanding emergency medical care facility.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
25,25,25,SB 453,Relating to payment of tuition to attend public schools for students holding certain United States student visas.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
26,26,26,SB 460,Relating to training for public school teachers in the detection and education of students at risk for suicide or with other mental or emotional disorders and the inclusion of mental health concerns in coordinated school health efforts.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
27,27,27,SB 464,Relating to the dismissal of complaints against property tax professionals.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
28,28,28,SB 504,Relating to the requirement that certain schoolchildren be screened for abnormal spinal curvature.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
29,29,29,SB 505,Relating to an exemption from the licensing requirement for certain persons who measure or fit orthoses under the supervision of a physician.,-1,Bob Deuell,author,83R,1160,Sen. Bob Deuell,Bob Deuell
