Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,SB 3,"Relating to the powers and duties of the Texas Department of Public Safety, military and law enforcement training, and the investigation, prosecution, punishment, and prevention of certain offenses; creating an offense and increasing a criminal penalty; authorizing fees.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
1,1,1,SB 11,Relating to the carrying of handguns on the campuses of and certain other locations associated with institutions of higher education; providing a criminal penalty.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
2,2,2,SB 210,Relating to the continuation of the Texas Council for Developmental Disabilities.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
3,3,3,SB 212,Relating to the abolishment of the Texas Council on Purchasing from People with Disabilities and the transfer of its functions to the Texas Workforce Commission.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
4,4,4,SB 213,Relating to the functions and duties of the University Interscholastic League.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
5,5,5,SB 216,Relating to the functions and operation of the State Office of Administrative Hearings.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
6,6,6,SB 350,Relating to the duties of the General Land Office and other state agencies with regard to the accounting for and management of real property owned by the state.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
7,7,7,SB 351,Relating to the determination of resident status of students by public institutions of higher education.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
8,8,8,SB 352,"Relating to the violation of certain court orders or conditions of bond in a family violence, sexual assault or abuse, stalking, or trafficking case.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
9,9,9,SB 420,Relating to the creation of a campus of the Texas State Technical College System in Ellis County.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
10,10,10,SB 523,Relating to the sunset review of river authorities.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
11,11,11,SB 524,Relating to a review of state laws requiring an action or proceeding to be brought in Travis County or a Travis County court.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
12,12,12,SB 525,Relating to ad valorem tax lien transfers.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
13,13,13,SB 526,Relating to restrictions on holders of package store permits.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
14,14,14,SB 527,Relating to the designation of a segment of U.S. Highway 287 in Midlothian as the Chris Kyle and Chad Littlefield Memorial Highway.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
15,15,15,SB 528,"Relating to the storage of certain hazardous chemicals; transferring enforcement of certain reporting requirements, including the imposition of criminal, civil, and administrative penalties, from the Department of State Health Services to the Texas Commission on Environmental Quality.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
16,16,16,SB 557,"Relating to the composition, governance, and authority of a regional tollway authority that has or proposes to have projects located in counties that are not part of the authority.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
17,17,17,SB 670,Relating to the Texas Identification Number system.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
18,18,18,SB 671,Relating to the designation of Loop 567 in Granbury as the Deputy Sergeant Lance McLean Memorial Highway.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
19,19,19,SB 691,Relating to tuition and fee exemptions for certain students enrolled in fire science courses at public institutions of higher education.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
20,20,20,SB 729,"Relating to the qualifications, duties, and limitations of Texas delegates to a constitutional convention called under Article V of the United States Constitution.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
21,21,21,SB 743,Relating to the allocation of certain surplus state revenue for periodic reductions in the state sales tax rate.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
22,22,22,SB 861,"Relating to the installation of certain telephone or telegraph corporation facilities on or across public roads, streets, or water.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
23,23,23,SB 862,Relating to voting methods in a property owners' association election or vote.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
24,24,24,SB 863,Relating to the audit of river authorities by the state auditor's office.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
25,25,25,SB 864,Relating to secret ballots in a property owners' association election or vote.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
26,26,26,SB 865,Relating to immunity of a governmental entity for damage to certain utility facilities.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
27,27,27,SB 877,"Relating to the powers and duties of the Texas Department of Public Safety and the investigation, prosecution, punishment, and prevention of certain offenses; creating an offense and increasing a criminal penalty.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
28,28,28,SB 953,Relating to an exemption for certain persons who sell signs from the requirement to be licensed as an electrician.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
29,29,29,SB 1254,Relating to transparency in economic development negotiations involving a governmental body and a business prospect.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
30,30,30,SB 1255,Relating to the creation and operations of health care provider participation programs in certain counties.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
31,31,31,SB 1735,Relating to tuition and fee exemptions at public institutions of higher education for certain military personnel and their dependents.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
32,32,32,SB 2054,Relating to the transfer of certain state property from the Texas Juvenile Justice Department to the State Orphans Home Alumni Association.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
33,33,33,SR 79,"Recognizing February 4, 2015, as Waco Day.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
34,34,34,SR 150,Commending the members of the Hood County Long Term Recovery Committee.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
35,35,35,SR 192,Recognizing the residents of West and first responders.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
36,36,36,SR 193,Welcoming the members of Leadership Midlothian Class of 2014-2015.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
37,37,37,SR 194,Welcoming the members of Leadership Waxahachie Class XX.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
38,38,38,SR 252,"Recognizing February 26, 2015, as Hill County Day.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
39,39,39,SR 297,Recognizing the Bob Bullock Scholars Program of Baylor University.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
40,40,40,SR 298,Congratulating the Ennis High School Lions football team for winning a state championship.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
41,41,41,SR 299,Recognizing the Ellis County Sheriff's Office Explorer Post for winning a state competition.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
42,42,42,SR 300,Recognizing the BBQ on the Bricks Annual Barbecue Cook-off in Kerens.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
43,43,43,SR 333,"Recognizing March 10, 2015, as Corsicana and Navarro County Day.",62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
44,44,44,SR 361,In memory of Sandra Lee Anderson.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
45,45,45,SR 386,Welcoming members of Leadership Cleburne to the Capitol.,62137,Brian Birdwell,author,84R,1080,Sen. Brian Birdwell,Brian Birdwell
