Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HR 3,Recognizing the Metrocrest Republican Club.,64029,Stefani Carter,author,832,2210,Rep. Stefani Carter,Stefani Carter
1,1,1,HB 4,Relating to the punishment for a capital felony committed by an individual younger than 18 years of age.,64029,Stefani Carter,author,832,2210,Rep. Stefani Carter,Stefani Carter
2,2,2,HB 2,"Relating to the regulation of abortion procedures, providers, and facilities; providing penalties.",64029,Stefani Carter,coauthor,832,2210,Rep. Stefani Carter,Stefani Carter
3,3,3,HCR 3,Directing the governor of the State of Texas to award the Texas Legislative Medal of Honor posthumously to Audie Murphy.,64029,Stefani Carter,coauthor,832,2210,Rep. Stefani Carter,Stefani Carter
4,4,4,SB 2,Relating to the punishment for a capital felony committed by an individual younger than 18 years of age.,64029,Stefani Carter,sponsor,832,2210,Rep. Stefani Carter,Stefani Carter
5,5,5,HB 66,Relating to notice of and consent to an abortion for a minor.,64029,Stefani Carter,author,831,2210,Rep. Stefani Carter,Stefani Carter
6,6,6,HR 64,Honoring the Texas-Israel Chamber of Commerce for its outstanding contributions.,64029,Stefani Carter,author,831,2210,Rep. Stefani Carter,Stefani Carter
7,7,7,HB 16,Relating to abortion at or after 20 weeks post-fertilization.,64029,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
8,8,8,HB 19,Relating to the carrying of concealed handguns on the campuses of and certain other locations associated with institutions of higher education.,64029,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
9,9,9,HB 60,"Relating to the regulation of abortion procedures, providers, and facilities; providing penalties.",64029,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
10,10,10,HB 70,Relating to appropriating money to the Texas A&M Forest Service to assist volunteer fire departments during the next state fiscal biennium.,64029,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
11,11,11,HB 73,Relating to appropriating money to the Texas A&M Forest Service to be used to assist volunteer fire departments during the current state fiscal biennium.,64029,Stefani Carter,coauthor,831,2210,Rep. Stefani Carter,Stefani Carter
12,12,12,SB 23,Relating to the punishment for a capital felony committed by an individual younger than 18 years of age.,64029,Stefani Carter,sponsor,831,2210,Rep. Stefani Carter,Stefani Carter
13,13,13,HB 991,Relating to imposing liens for labor and materials provided by interior designers.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
14,14,14,HB 992,Relating to an election to authorize an increase in a school district superintendent's salary.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
15,15,15,HB 1666,Relating to a task force on school district administrative efficiency.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
16,16,16,HB 1667,Relating to the conditions of release on bond for certain defendants charged with the offense of burglary.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
17,17,17,HB 1668,Relating to a franchise tax credit for certain taxable entities that recruit new taxable entities to this state or that relocate to this state.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
18,18,18,HB 1669,"Relating to the admissibility of evidence of other crimes, wrongs, or acts in the prosecution of certain sexual offenses.",64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
19,19,19,HB 1670,Relating to the addition of a synthetic hallucinogenic substance to Penalty Group 2 of the Texas Controlled Substances Act.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
20,20,20,HB 1671,Relating to the designation of certain synthetic cannabinoids as controlled substances and controlled substance analogues under the Texas Controlled Substances Act.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
21,21,21,HB 1846,Relating to suspension or denial of issuance or renewal of a license for failure to pay child support.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
22,22,22,HB 1847,Relating to continuing legal education in ethics or professional responsibility for prosecutors.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
23,23,23,HB 1848,"Relating to certain conditions of, penalties for violating, and collection of information about protective orders issued in certain family violence, sexual assault or abuse, stalking, or trafficking cases.",64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
24,24,24,HB 1849,Relating to the disposition of proceeds and property from criminal asset forfeiture.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
25,25,25,HB 2565,Relating to the formation of benefit corporations and to the consideration of public benefits and other interests by officers and directors of benefit corporations; providing for the imposition of a fee.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
26,26,26,HB 2566,Relating to electronic payment of premiums to the Texas Health Insurance Pool.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
27,27,27,HB 2567,Relating to the filing in county deed records of an instrument transferring a residential mortgage note; providing a civil penalty.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
28,28,28,HB 2863,"Relating to the offense of prostitution, the defendants eligible for participation in a first offender prostitution prevention program, and certain procedures for the provision of services under the program.",64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
29,29,29,HB 2864,Relating to requirements for mortgage servicers in connection with loans for the purchase of residential property.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
30,30,30,HB 2865,Relating to certain notifications to borrowers required for home equity loans.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
31,31,31,HB 2866,Relating to the establishment and operation of the technology business incubator program.,64029,Stefani Carter,author,83R,2210,Rep. Stefani Carter,Stefani Carter
