Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HB 1080,Relating to the definition of a state judge for purposes of state driver's license and personal identification laws.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
1,1,1,HB 1108,Relating to the determination of whether jurors in a criminal case have good cause for not performing their duties.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
2,2,2,HB 1278,"Relating to financial assistance paid to the survivors of certain law enforcement officers, firefighters, and other public employees killed in the line of duty.",51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
3,3,3,HB 1306,Relating to the reimbursement of expenses incurred by court reporters in judicial districts composed of more than one county.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
4,4,4,HB 1494,Relating to the filing by a court reporter of an official transcript of a court proceeding.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
5,5,5,HB 1685,Relating to the satisfaction of a condition of community supervision requiring performance of community service.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
6,6,6,HB 1746,Relating to the computation of taxable margin for purposes of the franchise tax by certain taxable entities.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
7,7,7,HB 2029,Relating to the time for qualification for elected office.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
8,8,8,HB 2263,Relating to warrants or orders issued to obtain location information from wireless communications devices and to public access to law enforcement or prosecutor requests for certain related location or communication information.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
9,9,9,HB 2265,Relating to the designation of a portion of State Highway 154 in Wood and Hopkins Counties as the Sgt. Tanner Stone Higgins Memorial Highway.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
10,10,10,HB 2437,Relating to the amount of emergency service fees for certain telecommunications providers.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
11,11,11,HB 2889,Relating to the verification of citizenship of an applicant for voter registration.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
12,12,12,HB 2984,Relating to advance directives or health care or treatment decisions made by or on behalf of patients.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
13,13,13,HB 3009,Relating to authorizing children of Texas Alcoholic Beverage Commission employees to be employed by holders of licenses or permits issued by the commission.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
14,14,14,HB 3051,Relating to an exemption for attorneys from athlete agent registration.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
15,15,15,HB 3365,Relating to the compensation and benefits of presiding judges of administrative judicial regions.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
16,16,16,HB 3377,Relating to the service retirement annuity for certain members of the Judicial Retirement System of Texas Plan Two who resume service.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
17,17,17,HB 3382,Relating to the compensation of associate judges appointed to hear Title IV-D cases or child protection cases.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
18,18,18,HB 3563,Relating to settlement practices of insurers and prohibited conduct by insurance adjusters and public insurance adjusters.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
19,19,19,HB 3598,Relating to the applicability of the Private Real Property Rights Preservation Act to certain governmental actions.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
20,20,20,HB 3626,Relating to the allocation of certain surplus state revenue for periodic reductions in the state sales tax rate.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
21,21,21,HB 3631,Relating to administration of a justice court technology fund in certain counties by a justice of the peace council.,51630,Bryan Hughes,author,84R,3340,Rep. Bryan Hughes,Bryan Hughes
