Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,SB 119,Relating to requiring that members of the governing board of certain metropolitan rapid transit authorities be elected.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
1,1,1,SB 120,Relating to the penalty for theft of an official ballot or official carrier envelope for an election.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
2,2,2,SB 191,"Relating to a prohibition on ownership, control, or management of the Alamo complex by a foreign entity.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
3,3,3,SB 205,Relating to the functions of the Department of Assistive and Rehabilitative Services.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
4,4,4,SB 208,Relating to the continuation and functions of the Texas Workforce Commission.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
5,5,5,SB 214,Relating to the continuation and functions of the Texas Education Agency and to the abolition of the State Board for Educator Certification and the transfer of its functions to the Texas Education Agency; providing for the ad valorem tax rate to be imposed after annexation of an insolvent or inoperative school district.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
6,6,6,SB 215,Relating to the transfer of driver and traffic safety education from the Texas Education Agency to the Texas Department of Licensing and Regulation; changing the amounts of certain fees.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
7,7,7,SB 249,Relating to dedicating certain state revenue to the purpose of retiring state general obligation debt.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
8,8,8,SB 273,Relating to certain offenses relating to carrying concealed handguns on property owned or leased by a governmental entity; providing a civil penalty.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
9,9,9,SB 276,Relating to state savings and government efficiency achieved through a taxpayer savings grant program administered by the comptroller of public accounts.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
10,10,10,SB 309,"Relating to public access to boundary, financial, and tax rate information of certain political subdivisions.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
11,11,11,SB 310,Relating to procedures and requirements for the issuance of certificates of obligation.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
12,12,12,SB 311,Relating to certain offenses involving the carrying of concealed handguns by license holders and to defenses and exceptions to the prosecution of those offenses.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
13,13,13,SB 399,Relating to ballot propositions authorizing certain political subdivisions to issue debt obligations.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
14,14,14,SB 400,Relating to procedural requirements for adopting and filing a school district budget.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
15,15,15,SB 414,Relating to a suit for possession of or access to a child by a grandparent.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
16,16,16,SB 531,"Relating to the application of foreign laws and foreign forum selection in a proceeding involving marriage, a suit for dissolution of a marriage, or a suit affecting the parent-child relationship in this state.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
17,17,17,SB 548,Relating to the membership of the Electrical Safety and Licensing Advisory Board.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
18,18,18,SB 573,Relating to the issuance of certain capital appreciation bonds by political subdivisions.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
19,19,19,SB 631,Relating to the authority of certain contiguous municipalities to agree to extend municipal court jurisdiction.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
20,20,20,SB 635,Relating to the eligibility of property used in connection with renewable energy electric generation through the use of wind power for a limitation on appraised value of property for ad valorem tax purposes under the Texas Economic Development Act.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
21,21,21,SB 665,Relating to inclusion of a course on the founding principles of the United States in the curriculum requirements for public high school students and the posting of the founding documents of the United States in public school buildings.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
22,22,22,SB 674,"Relating to instruction regarding mental health, substance abuse, and youth suicide in educator training programs.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
23,23,23,SB 748,Relating to voting eligibility requirements for members of a metropolitan planning organization policy board.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
24,24,24,SB 805,Relating to the employment of individuals qualified for a veteran's employment preference.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
25,25,25,SB 806,Relating to the College Credit for Heroes program.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
26,26,26,SB 807,"Relating to occupational license application and examination fees for certain military service members, military veterans, and military spouses.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
27,27,27,SB 832,Relating to the coordinating workgroups of the Texas Coordinating Council for Veterans Services.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
28,28,28,SB 833,Relating to the continuation of a residence homestead exemption from ad valorem taxation while the owner is temporarily absent because of military service.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
29,29,29,SB 874,Relating to a photo identification requirement to use certain state benefits.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
30,30,30,SB 963,"Relating to the creation of the Comal Trinity Groundwater Conservation District; providing authority to issue bonds; providing authority to impose assessments, fees, or surcharges.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
31,31,31,SB 975,Relating to the uniform election date.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
32,32,32,SB 1049,Relating to an exemption from the franchise tax and certain filing fees for certain businesses owned by veterans during an initial period of operation in the state.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
33,33,33,SB 1086,Relating to a parent's right to view the body of a deceased child before an autopsy is performed.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
34,34,34,SB 1097,Relating to payment of and disclosures related to certain out-of-network provider charges; authorizing a fee; providing a penalty.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
35,35,35,SB 1098,Relating to the operation of certain managed care plans with respect to health care providers.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
36,36,36,SB 1115,Relating to a program allowing certain military voters on active duty overseas to cast a ballot electronically.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
37,37,37,SB 1130,Relating to suspending a vehicle registration for the failure to establish financial responsibility; imposing penalties.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
38,38,38,SB 1134,Relating to fingerprints collected by the Texas Department of Public Safety from an applicant for a driver's license or personal identification certificate and used for the department's image verification system.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
39,39,39,SB 1169,Relating to suicide prevention training for educators in public schools.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
40,40,40,SB 1278,"Relating to the creation of a judicial district composed of Kendall County, the composition of the 216th Judicial District, the creation of a criminal district attorney of Kendall County, and the abolishment of the County Court at Law of Kendall County and the office of county attorney of Kendall County.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
41,41,41,SB 1279,Relating to designated emergency infant care providers for certain abandoned children.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
42,42,42,SB 1329,"Relating to the application of certain concealed handgun license laws to the attorney general, to assistant attorneys general, and to federal prosecutors, judges, and justices, and to the authority of those individuals to carry certain weapons.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
43,43,43,SB 1330,Relating to injury leave for certain peace officers.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
44,44,44,SB 1358,Relating to the Texas Military Preparedness Commission and strategic planning regarding military bases and defense installations.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
45,45,45,SB 1397,Relating to the establishment of a rural resident physician grant program.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
46,46,46,SB 1439,Relating to the territory of the Hays Trinity Groundwater Conservation District; authorizing the regulation of certain wells for the production of groundwater.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
47,47,47,SB 1440,"Relating to the territory, jurisdiction, board composition, elections, and powers of the Barton Springs-Edwards Aquifer Conservation District, including its authority to regulate certain wells for the production of groundwater; imposing a cap on certain fees.",67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
48,48,48,SB 1446,Relating to the prosecution of the offense of improper photography or visual recording.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
49,49,49,SB 1447,Relating to equal opportunity for access by private and parochial school students to certain University Interscholastic League sponsored activities.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
50,50,50,SB 1558,Relating to health benefit plan coverage for certain equipment and supplies associated with diabetes treatment.,67809,Donna Campbell,author,84R,1010,Sen. Donna Campbell,Donna Campbell
