Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,SCR 12,In memory of the Honorable Frank Tejeda.,-1,Lt. Gov. Bob Bullock,coauthor,75R,1140,Lt. Gov. Bob Bullock,Bob Bullock
1,1,1,SCR 66,Declaring support of the El Paso region as the pilot site for the Intermodal Installation Program.,-1,Lt. Gov. Bob Bullock,coauthor,74R,1140,Lt. Gov. Bob Bullock,Bob Bullock
2,2,2,SB 4,Relating to products liability.,-1,Lt. Gov. Bob Bullock,coauthor,73R,1140,Lt. Gov. Bob Bullock,Bob Bullock
3,3,3,SR 96,Expressing appreciation and gratitude to Speaker Gib Lewis for his countless contributions to the legislature and the State of Texas.,-1,Lt. Gov. Bob Bullock,author,723,1140,Lt. Gov. Bob Bullock,Bob Bullock
4,4,4,SR 227,In memory of Wenona Christine Jones Glasgow.,-1,Lt. Gov. Bob Bullock,coauthor,72R,1140,Lt. Gov. Bob Bullock,Bob Bullock
