Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HB 946,Relating to painting and marking requirements for certain meteorological evaluation towers; creating an offense.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
1,1,1,HB 947,Relating to the authority of certain political subdivisions to change the date of their general elections.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
2,2,2,HB 1047,Relating to a franchise tax credit for entities that employ certain students in certain paid internship or similar programs.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
3,3,3,HB 1124,Relating to adjudication of claims arising from written contracts with state agencies.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
4,4,4,HB 1126,"Relating to the qualifications for incentives for the film, television, and multimedia production industries.",66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
5,5,5,HB 1132,Relating to the regulation of certain policy forms used for insuring certain large risks.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
6,6,6,HB 1396,"Relating to certain criminal offenses, punishments, and procedures; the construction of certain statutes and rules that create or define criminal offenses and penalties; a review of certain penal laws of this state.",66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
7,7,7,HB 1442,Relating to a property owner's right to remove a tree or vegetation that the owner believes poses a fire risk.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
8,8,8,HB 1450,Relating to creating the Texas Border Security Division.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
9,9,9,HB 1472,Relating to the enforcement of requirements for the issuance of local permits by regulatory agencies of political subdivisions.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
10,10,10,HB 1668,Relating to the status of a subcontractor as an employee for the purposes of workers' compensation insurance coverage.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
11,11,11,HB 1784,Relating to damages in an action arising out of a deficiency in the construction or repair of an improvement to real property.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
12,12,12,HB 2016,Relating to additional state aid for tax reduction provided to certain school districts.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
13,13,13,HB 2071,Relating to payment of covered claims based on assignment.,66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
14,14,14,HB 2243,"Relating to the authorization, regulation, and function of dedicated personal insurers; requiring a certificate of authority; imposing fees.",66075,Paul Workman,author,84R,2075,Rep. Paul Workman,Paul Workman
