Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,bill_name,caption,filer_id,filer_name,function,session,leg_id,original_name,parsed_name
0,0,0,HB 750,Relating to a landowner's liability for certain aviation activities on or above the owner's land.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
1,1,1,HB 905,Relating to the regulation of knives by a municipality or county.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
2,2,2,HB 989,"Relating to defenses and exceptions to the prosecution of the criminal offense of the possession, manufacture, transport, repair, or sale of certain prohibited explosive weapons, firearms, and related items.",66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
3,3,3,HB 1535,Relating to rates of and certificates of convenience and necessity for certain non-ERCOT electric utilities; authorizing a surcharge.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
4,4,4,HB 1793,Relating to reports of certain missing children and to the administration of missing or exploited children prevention grants.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
5,5,5,HB 2317,Relating to reinsurance financial statement credit and accounting.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
6,6,6,HB 2893,Relating to the licensing of insurance agents and adjusters; providing a penalty.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
7,7,7,HB 2967,Relating to collection and use of certain information reported to and by the Texas Department of Insurance and certain approval authority and hearings held in connection with reported information.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
8,8,8,HB 3028,"Relating to regulation of certain conduct by discount health care program operators, or concerning discount health care programs, that relates to prescription drugs or prescription drug benefits; authorizing administrative and civil penalties.",66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
9,9,9,HB 3102,Relating to the disclosure by health care practitioners and facilities of patient liability for payment for certain health care services.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
10,10,10,HB 3237,"Relating to the authority of certain domestic life, health, and accident insurance companies to make certain investments; adding provisions that may be subject to a criminal penalty.",66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
11,11,11,HB 3238,"Relating to the regulation of funding agreements, guaranteed investment contracts, and synthetic guaranteed investment contracts issued by a life insurer.",66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
12,12,12,HB 3708,Relating to the use of the results of assessment instruments administered to public school students transferring from out-of-state schools.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
13,13,13,HB 3980,Relating to requiring a coverage summary or other informational material to accompany certain insurance policies; adding a provision that may be subject to a criminal penalty.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
14,14,14,HB 4024,Relating to the application of the open meetings and public information laws to the Texas Mutual Insurance Company.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
15,15,15,HR 247,Congratulating Janeen Drew Holmes Gilliam on her retirement from the Lubbock Symphony Orchestra.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
16,16,16,HR 310,Congratulating Paul Joseph Scioli Jr. of Lubbock on attaining the rank of Eagle Scout.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
17,17,17,HR 311,Congratulating Logan Antcliff of Lubbock on attaining the rank of Eagle Scout.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
18,18,18,HR 312,Congratulating John Thomas Thrash of Lubbock on attaining the rank of Eagle Scout.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
19,19,19,HR 313,Congratulating Marcos Xavier Palacios on attaining the rank of Eagle Scout.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
20,20,20,HR 314,Congratulating John Paul Walter of Lubbock on attaining the rank of Eagle Scout.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
21,21,21,HR 315,Congratulating Stephen Beasley on his retirement as publisher of the Lubbock Avalanche-Journal.,66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
22,22,22,HR 401,"Recognizing February 24, 2015, as Lubbock Day at the State Capitol.",66260,John Frullo,author,84R,2005,Rep. John Frullo,John Frullo
